gbifID	species	basisOfRecord	year	eventDate	countryCode	decimalLongitude	decimalLatitude	locality	genus	specificEpithet	collectionCode	institutionCode	datasetKey
1038571715	Centaurea diffusa	HUMAN_OBSERVATION	2014	2014-08-23T22:00:00.000+0000	RO	28.62956	43.91919	Küstenabschnitt südlich von Costinesti	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
920996089	Centaurea diffusa	HUMAN_OBSERVATION	2013	2013-07-29T22:00:00.000+0000	RO	28.642	44.05009	Lac Techirghiol Ost	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
859763858	Centaurea diffusa	HUMAN_OBSERVATION	2013	2013-09-29T22:00:00.000+0000	SE	12.3058	58.2993	Trollhättan (Stallbacka)	Centaurea	diffusa	Artport	ArtDatabanken	38b4c89f-584c-41bb-bd8f-cd1def33e92f
921023893	Centaurea diffusa	HUMAN_OBSERVATION	2013	2013-10-02T22:00:00.000+0000	DE	8.64301	49.34568	Friedhof Sandhausen - Wiese	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
615431358	Centaurea diffusa	HUMAN_OBSERVATION	2012	2012-03-17T23:00:00.000+0000	FR	5.33798	43.39161	Grande Colle	Centaurea	diffusa	cel	http://www.tela-botanica.org	baa86fb2-7346-4507-a34f-44e4c1bd0d57
920994819	Centaurea diffusa	HUMAN_OBSERVATION	2012	2012-07-08T22:00:00.000+0000	RO	28.58582	43.90179	Fischteiche Olimp / 23August	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
921008197	Centaurea diffusa	HUMAN_OBSERVATION	2012	2012-07-10T22:00:00.000+0000	RO	28.5175	43.81359	Lac Limanu/Lac Mangalia	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
921004399	Centaurea diffusa	HUMAN_OBSERVATION	2012	2012-08-16T22:00:00.000+0000	DE	8.64301	49.34568	Friedhof Sandhausen - Wiese	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
921019569	Centaurea diffusa	HUMAN_OBSERVATION	2012	2012-08-12T22:00:00.000+0000	DE	8.64301	49.34568	Friedhof Sandhausen - Wiese	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
411859956	Centaurea diffusa	HUMAN_OBSERVATION	2011	2011-06-19T22:00:00.000+0000	FR	5.33575	43.39292	NA	Centaurea	diffusa	cel	http://www.tela-botanica.org	baa86fb2-7346-4507-a34f-44e4c1bd0d57
921013562	Centaurea diffusa	HUMAN_OBSERVATION	2011	2011-06-01T22:00:00.000+0000	DE	12.69565	48.2672	"Kaisersberg, Eisenfelden (Winhöring)"	Centaurea	diffusa	naturgucker	naturgucker	6ac3f774-d9fb-4796-b3e9-92bf6c81c084
