"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1020763351" "1020763351" 34.21139 -117.07667 "inv" 1994 "US" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62 1.43232219956079 -0.29481025463117 2.4008289716746
"1020816088" "1020816088" 41.7339669 -122.6578404 "inv" 1999 "US" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161 1.52362540201941 -5.02700638839049 -1.3043601685784
"1020831584" "1020831584" 34.21139 -117.07667 "inv" 1994 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43 0.10249536308528 4.13606883840546 -4.32938029722811
"1020861541" "1020861541" 40.56688549 -122.6107213 "inv" 1972 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43 0.273101350122029 4.05854256180954 -4.26305586003328
"1020861615" "1020861615" 41.94897027 -121.9325265 "inv" 1967 "US" 995 50 152 -54 358 39 17 25 112 58 112 95 109 31 7998 235 -110 345 152 6 -0.1855644721507 3.03485029908954 -0.851831337353114
"1021134661" "1021134661" 40.88676798 -123.9946583 "inv" 1999 "US" 1288 37 137 -60 577 67 38 19 181 117 147 166 104 31 7760 226 -106 332 -53 -10 0.969365619810242 2.46987987709428 -2.84329882256345
"1021149568" "1021149568" 34.21167 -117.07667 "inv" 1999 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154 -0.315371314528138 1.63593872364185 -1.63556078902119
"1021160047" "1021160047" 38.77343848 -120.1835393 "inv" 1998 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 -0.747301743218335 1.50408797719644 -0.443894277290871
"1021364997" "1021364997" 38.35914671 -120.1981343 "inv" 2002 "US" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6 -0.204186775739681 2.93942804312577 -2.40656888034476
"1021517622" "1021517622" 40.07850263 -121.5847901 "inv" 2000 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 -0.71226879294603 1.48816840579126 -0.43027493865896
"1021662257" "1021662257" 39.31202515 -120.5475551 "inv" 1998 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154 -0.178458130344017 1.5737230325571 -1.58233469746786
"1021720776" "1021720776" 37.13717 -118.05363 "inv" 1988 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 -0.791225493856937 1.52404768025425 -0.460969985425098
"1021730545" "1021730545" 39.1324317 -120.1585435 "inv" 1999 "US" 995 50 152 -54 358 39 17 25 112 58 112 95 109 31 7998 235 -110 345 152 6 -0.261171219652605 3.06920729746433 -0.881224063032284
"1021741158" "1021741158" 39.95601005 -120.9560736 "inv" 2000 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154 -0.161171094317615 1.56586750790768 -1.57561422443445
"1021763504" "1021763504" 38.54064888 -119.4565192 "inv" 2000 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43 0.218709352304869 4.08325921531403 -4.28420118269038
"1021824372" "1021824372" 34.21167 -117.07667 "inv" 1994 "US" 1 159 255 65 445 54 17 29 153 67 69 128 112 34 7388 336 10 326 121 250 -2.0699432945098 -1.74914544666685 4.6735983674487
"1021824609" "1021824609" 34.21167 -117.07667 "inv" 1999 "US" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220 -1.02041968543813 -1.01914862747049 2.78148004587578
"1021867975" "1021867975" 40.07850263 -121.5846901 "inv" 1997 "US" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231 -1.25879421195949 -2.83458645870706 3.00468798761266
"1021947032" "1021947032" 34.21167 -117.07667 "inv" 1999 "US" 176 106 200 3 573 69 33 23 182 107 178 121 91 29 7700 267 -40 307 185 20 1.19750992299538 0.552439386617965 1.5322884275909
"1021948581" "1021948581" 34.2115 -117.07683 "inv" 1994 "US" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28 1.07936365626737 0.545908091470896 2.70115179618911
"1021986510" "1021986510" 34.21167 -117.07667 "inv" 1999 "US" 2 121 213 26 448 49 30 14 129 95 113 108 71 25 7361 261 -17 278 88 30 1.19472383746083 0.329415263677 2.67974040440824
"1022124251" "1022124251" 34.2 -117.06667 "inv" 1999 "US" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23 1.05089053608846 0.824300292836312 2.84892564900383
"1022146473" "1022146473" 36.06859029 -121.2977315 "inv" 1999 "US" 7 111 213 6 387 47 22 22 125 78 122 88 70 23 8129 263 -34 297 195 12 0.956903734586028 1.14953545744013 2.70667439500432
"1022182581" "1022182581" 37.47389 -119.75944 "inv" 2008 "US" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6 0.491420523446968 1.13468621448257 1.85879447074462
"1022393412" "1022393412" 38.31154707 -120.2766356 "inv" 2001 "US" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117 -1.39172350798388 6.71645337779659 -0.546801977790098
"1022439776" "1022439776" 38.7770377 -120.2712415 "inv" 2000 "US" 13 71 235 -102 216 24 13 17 68 44 56 54 112 23 13277 320 -162 482 -4 -92 -2.66108465098834 6.21702161997653 0.798375843101659
"1022454156" "1022454156" 38.51734129 -120.4728428 "inv" 2000 "US" 41 174 285 61 200 30 3 54 79 12 12 74 119 33 8804 356 1 355 71 285 -4.34480577282543 -1.1038847507048 5.91841887885456
"1022527660" "1022527660" 37.78965918 -120.1400258 "inv" 2002 "US" 141 9 158 -142 662 80 29 29 221 98 221 126 86 19 11565 233 -199 432 158 -61 1.19584194192081 5.61118530530915 -3.30610548870051
"1022527694" "1022527694" 40.49257367 -124.0938545 "inv" 2002 "US" 12 71 235 -102 217 24 13 17 68 44 57 54 112 23 13289 320 -162 482 -4 -93 -2.60838965175538 6.20191982148213 0.814697830623574
"1022527929" "1022527929" 37.78965918 -120.1400258 "inv" 2002 "US" 224 100 219 -21 508 77 23 40 202 74 196 76 101 28 9354 290 -68 358 200 -11 -0.111958037692108 1.54291833622921 1.49844725903625
"1022554094" "1022554094" 38.68994112 -120.0598354 "inv" 2001 "US" 525 88 200 -25 567 88 20 46 238 72 221 73 102 29 8829 269 -75 344 181 -17 0.128855948676965 1.31695408543098 0.428853978150355
"1022589258" "1022589258" 37.47389 -119.74278 "inv" 2008 "US" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217 -0.854745917086172 -1.79039413499474 2.31987813715305
"1030499212" "1030499212" 43.6 -83.71667 "inv" 1979 "US" 6 144 225 65 726 120 23 48 308 83 83 235 75 30 6308 279 33 246 88 225 0.239384204747311 -3.99484345302559 2.59225403148636
"1038569168" "1038569168" 49.83898 8.56779 "nat" 2008 "DE" 1764 62 157 -44 462 62 8 47 174 30 53 139 133 36 7827 264 -104 368 56 156 -2.52325777571477 1.30264601794497 -1.36673526897641
"1038571715" "1038571715" 43.91919 28.62956 "nat" 2014 "RO" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187 -2.60951267835901 -0.0657626370386233 -1.17701625577562
"1038960818" "1038960818" 41.9945 -72.6788 "inv" 1925 "US" 2031 59 169 -57 539 81 15 43 208 55 55 123 115 30 8850 262 -116 378 44 169 -2.18345773552506 1.83846971871523 -1.79161778631333
"1041319188" "1041319188" 40.648 -105.18806 "inv" 1983 "US" 263 79 203 -49 527 63 29 21 166 110 158 134 82 23 9920 262 -92 354 186 8 1.03352917311745 2.63155025849168 0.584996592572667
"1041319204" "1041319204" 39.74706 -105.18559 "inv" 1983 "US" 218 81 205 -46 523 62 29 20 163 109 156 133 81 22 9903 264 -89 353 188 11 1.05223045412852 2.60762672930631 0.76041634275188
"1041319651" "1041319651" 39.5478 -105.09638 "inv" 2000 "US" 96 81 193 -38 621 84 35 27 221 119 221 133 81 24 9054 251 -79 330 193 -28 1.9964716951421 1.78921183192764 0.204166645548407
"1041319658" "1041319658" 39.5478 -105.09638 "inv" 2000 "US" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82 1.308141539757 1.65185453056929 0.494652044305376
"1041320145" "1041320145" 39.46236 -104.92622 "inv" 2012 "US" 87 90 214 -39 522 61 30 21 161 107 158 137 83 23 9942 275 -81 356 198 19 0.875278956152467 2.33677695693624 1.26240466445055
"1041320850" "1041320850" 39.31706 -104.63886 "inv" 2012 "US" 52 110 214 10 419 43 27 15 118 88 118 106 93 29 8001 283 -34 317 214 47 0.510945581225831 0.946082102393428 2.78213963487935
