"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"1" "1020763351" 34.21139 -117.07667 "inv" 1994 "US" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62
"2" "1020816088" 41.7339669 -122.6578404 "inv" 1999 "US" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161
"3" "1020831584" 34.21139 -117.07667 "inv" 1994 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43
"4" "1020861541" 40.56688549 -122.6107213 "inv" 1972 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43
"5" "1020861615" 41.94897027 -121.9325265 "inv" 1967 "US" 995 50 152 -54 358 39 17 25 112 58 112 95 109 31 7998 235 -110 345 152 6
"6" "1021134661" 40.88676798 -123.9946583 "inv" 1999 "US" 1288 37 137 -60 577 67 38 19 181 117 147 166 104 31 7760 226 -106 332 -53 -10
"7" "1021149568" 34.21167 -117.07667 "inv" 1999 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154
"8" "1021160047" 38.77343848 -120.1835393 "inv" 1998 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130
"9" "1021364997" 38.35914671 -120.1981343 "inv" 2002 "US" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6
"10" "1021517622" 40.07850263 -121.5847901 "inv" 2000 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130
"11" "1021662257" 39.31202515 -120.5475551 "inv" 1998 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154
