"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1020861541" "1020861541" 40.56688549 -122.6107213 "inv" 1972 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43 3.24536610793501 2.91113059780098 3.95885385034019
"1021149568" "1021149568" 34.21167 -117.07667 "inv" 1999 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154 1.34161520177118 1.09249320645403 1.15628719657149
"1021160047" "1021160047" 38.77343848 -120.1835393 "inv" 1998 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 0.956174329767572 1.1200145390915 -0.045039586533281
"1021763504" "1021763504" 38.54064888 -119.4565192 "inv" 2000 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43 3.22077481545125 2.95970009388578 3.95596710552856
"1021824609" "1021824609" 34.21167 -117.07667 "inv" 1999 "US" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220 -0.880309922377116 -1.07380361153133 -3.07500186311933
"1021867975" "1021867975" 40.07850263 -121.5846901 "inv" 1997 "US" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231 -2.27247056896346 -2.16486303053165 -3.20901163403034
"1021986510" "1021986510" 34.21167 -117.07667 "inv" 1999 "US" 2 121 213 26 448 49 30 14 129 95 113 108 71 25 7361 261 -17 278 88 30 1.57461537557129 -1.67828500171184 -2.64845978964419
"1022527694" "1022527694" 40.49257367 -124.0938545 "inv" 2002 "US" 12 71 235 -102 217 24 13 17 68 44 57 54 112 23 13289 320 -162 482 -4 -93 2.70477558571267 5.36592474756714 -2.21507674249407
"1022589258" "1022589258" 37.47389 -119.74278 "inv" 2008 "US" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217 -1.27410751513584 -1.61059556480784 -2.56442941440067
"1030499212" "1030499212" 43.6 -83.71667 "inv" 1979 "US" 6 144 225 65 726 120 23 48 308 83 83 235 75 30 6308 279 33 246 88 225 -1.95930302031371 -3.94448854415414 -2.47699374191466
"1038569168" "1038569168" 49.83898 8.56779 "nat" 2008 "DE" 1764 62 157 -44 462 62 8 47 174 30 53 139 133 36 7827 264 -104 368 56 156 -0.514394383654001 2.47214866752058 0.791850743735315
"1038571715" "1038571715" 43.91919 28.62956 "nat" 2014 "RO" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187 -1.52521976423655 1.4312480045455 0.435836495518556
"1038960818" "1038960818" 41.9945 -72.6788 "inv" 1925 "US" 2031 59 169 -57 539 81 15 43 208 55 55 123 115 30 8850 262 -116 378 44 169 0.0828622594521834 2.57476005244987 1.01313782183174
"1041319188" "1041319188" 40.648 -105.18806 "inv" 1983 "US" 263 79 203 -49 527 63 29 21 166 110 158 134 82 23 9920 262 -92 354 186 8 3.01858168098843 0.39744245742346 -0.907380121067506
"1041321068" "1041321068" 39.4659 -104.91648 "inv" 2012 "US" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85 2.51604139372708 -0.287794082229317 -0.997981602787507
"1041346521" "1041346521" 39.49345 -105.09272 "inv" 1999 "US" 0 101 217 -13 428 51 25 21 138 85 133 96 89 26 9017 284 -57 341 197 -8 2.03853180065554 -0.0192864273668451 -2.45195551187731
"1041352458" "1041352458" 39.5478 -105.09638 "inv" 1981 "US" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193 -2.25050607768587 1.22127149577255 -2.18307282442795
"1041359484" "1041359484" 40.35681 -105.59448 "inv" 1991 "US" 432 109 206 18 449 58 12 39 171 50 57 154 128 37 7316 311 -32 343 23 201 -1.74953414864622 0.472597499949357 -2.24930700325393
"1041359776" "1041359776" 39.76994 -105.35325 "inv" 1995 "US" 362 102 195 12 300 51 6 58 145 27 29 131 136 40 7127 301 -39 340 17 191 -2.21377332281058 1.21700019886847 -2.06542509297965
"1041365556" "1041365556" 40.98352 -105.40019 "inv" 2000 "US" 1422 69 196 -55 348 65 9 60 165 31 131 31 155 35 9670 307 -134 441 166 -55 0.378698861179239 4.01564008697635 -0.539036891249246
"1041369992" "1041369992" 39.75659 -104.85655 "inv" 2008 "US" 1892 54 174 -58 332 56 14 46 143 43 96 43 153 36 9014 283 -139 422 93 -58 0.802104288013534 4.18322720371065 0.520249674678921
"1041371584" "1041371584" 39.54385 -105.27328 "inv" 2004 "US" 1493 93 207 -17 354 62 8 56 157 27 128 27 162 39 8698 309 -106 415 183 -17 -0.555830912560276 3.10724118700523 -1.45565322316116
"1042743326" "1042743326" 38.80778 -119.77778 "inv" 2008 "US" 1258 70 170 -27 285 34 11 32 99 39 46 97 160 41 7662 290 -92 382 -21 165 -0.833590318775868 3.24506905366536 -0.498630498345614
"1046606659" "1046606659" 37.13717 -118.05363 "inv" 1988 "US" 339 104 214 -6 187 30 5 45 79 22 26 70 129 34 8516 312 -61 373 0 207 -1.33917559477476 2.42763745460238 -3.05752230593199
"164347440" "164347440" 48.06667 -123.06167 "inv" 2005 "US" 34 153 244 64 487 64 16 35 183 66 78 158 97 32 7046 313 19 294 80 240 -1.810558483755 -2.15633663440778 -4.28051936497291
"164347462" "164347462" 46.23833 -119.05833 "inv" 2005 "US" 21 74 147 7 1271 161 58 32 451 194 271 296 46 22 5574 181 -21 202 87 91 2.69984448230613 -6.30685357075428 3.22525233280236
"174504460" "174504460" 36.87892 -104.39634 "inv" 1991 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148 0.124107962563454 2.45633372386875 0.740254820644165
