Row	Column	tagged	Trt	Image	lfArea	lfMass
2	B	US019-7	control	montSLA-1-5.jpg	43.941	0.335
2	C	SAND-4	control	montSLA-1-4.jpg	30.564	0.192
2	D	HU001-5	control	montSLA-1-4.jpg	7.023	0.032
2	E	RU001-5	control	montSLA-1-4.jpg	7.98	0.034
2	F	US017-9	control	montSLA-1-5.jpg	20.084	0.138
2	G	TR001-8	control	montSLA-1-6.jpg	7.349	0.062
2	I	EDGE-1	control	montSLA-1-6.jpg	16.515	0.036
2	J	RO001-9	control	montSLA-1-6-1.jpg	34.234	0.261
2	K	GR001-3	control	montSLA-1-6-1.jpg	22.497	0.197
2	M	TR003-7	control	montSLA-1-6-3.jpg	22.64	0.169
2	N	US002-7	control	montSLA-1-6-3.jpg	1.07	0.006
2	O	RU008-4	control	montSLA-1-6-3.jpg	22.552	0.165
2	P	RO003-6	control	montSLA-1-6-4.jpg	10.71	0.080
2	S	RU008-7	control	montSLA-1-6-4.jpg	16.877	0.114
2	T	SAND-9	control	montSLA-1-6-5.jpg	14.823	0.160
3	B	RO002-1	control	montSLA-1-7.jpg	12.97	0.083
3	C	HU001-4	control	montSLA-1-7.jpg	21.534	0.180
3	D	SERG-2	control	montSLA-1-7-1.jpg	15.878	0.140
3	G	US019-4	control	montSLA-1-7-1.jpg	18.906	0.101
3	H	RO002-8	control	montSLA-1-7-2.jpg	15.113	0.097
3	I	UA003-2	control	montSLA-1-7-2.jpg	23.71	0.187
3	J	CA001-4	control	montSLA-1-6-10.jpg	11.415	0.101
3	K	RO003-9	control	montSLA-1-6-10.jpg	5.023	0.042
3	L	US002-3	control	montSLA-1-6-9.jpg	21.606	0.138
3	M	RU001-7	control	montSLA-1-6-9.jpg	2.383	0.017
3	N	EDGE-83	control	montSLA-1-6-9.jpg	6.033	0.039
3	O	US002-8	control	montSLA-1-6-8.jpg	6.525	0.110
3	P	US018-2	control	montSLA-1-6-8.jpg	15.705	0.158
3	Q	GR002-7	control	montSLA-1-6-7.jpg	28.145	0.068
3	R	US023-3	control	montSLA-1-6-7.jpg	9.723	0.246
3	S	RO001-5	control	montSLA-1-6-6.jpg	33.576	0.120
3	T	CORY2-8	control	montSLA-1-6-6.jpg	12.312	0.088
3	U	BG001-5	control	montSLA-1-6-5.jpg	8.533	0.064
4	B	US001-9	drought	montSLA-1-7.jpg	4.431	0.028
4	C	CA010-3	drought	montSLA-1-7-3.jpg	50.142	0.397
4	D	BG001-7	drought	montSLA-1-7-3.jpg	10.749	0.080
4	E	CA008-3	drought	montSLA-1-7-4.jpg	35.801	0.290
4	F	US026-6	drought	montSLA-1-7-4.jpg	22.735	0.191
4	G	UA008-5	drought	montSLA-1-8-1.jpg	2.486	0.013
4	H	UA004-2	control	montSLA-1-8.jpg	7.034	0.211
4	I	GR003-1	control	montSLA-1-8.jpg	27.686	0.053
4	J	US017-8	control	montSLA-1-8-1.jpg	8.868	0.057
4	K	US020-3	control	montSLA-1-8-1.jpg	14.273	0.126
4	L	BG001-8	control	montSLA-1-8-2.jpg	9.291	0.086
4	M	BG001-6	control	montSLA-1-8-2.jpg	8.454	0.157
4	N	RO005-7	control	montSLA-1-8-3.jpg	13.932	0.091
4	O	RO002-3	control	montSLA-1-8-3.jpg	6.724	0.060
4	P	US026-9	control	montSLA-1-8-4.jpg	26.245	0.220
