Pop	Row	Column	Trt	Mom	Origin	tagged	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4
EDGE-2	BG001	5	O	drought	5	nat	EDGE-2	8	4.8	1.5	12	black	1.56861591791385	0.405465108108164	2.82842712474619	24.5	25	13.6	3.2	3.19867311755068	2.61006979274201	1.16315080980568	5	NA	117	No	NA	40	35	0.1099525	21	3.5	24.7	50	NA	3.68887945411394	3.55534806148941	-2.20770682463186	3.04452243772342	1.25276296849537	3.20680324363393	3.91202300542815	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
RO003-2	BG001	12	B	drought	5	nat	RO003-2	9	4.4	0.5	12	black	1.48160454092422	-0.693147180559945	3	22.2	29	12.8	3.8	3.10009228887823	2.54944517092557	1.33500106673234	5.3851648071345	NA	117	No	NA	61	50	0.239539375	30	6	21.1	56	NA	4.11087386417331	3.91202300542815	-1.42903747063375	3.40119738166216	1.79175946922805	3.04927304048202	4.02535169073515	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
RO003-6	BG001	2	P	control	5	nat	RO003-6	8	3.9	1.2	13	black	1.3609765531356	0.182321556793955	2.82842712474619	21.7	17	12.7	3.3	3.07731226054641	2.54160199346455	1.19392246847243	4.12310562561766	50	50	Yes	14	36	34.5	0.097543575	19	5.5	11.9	6	57	3.58351893845611	3.54095932403731	-2.32745607774178	2.94443897916644	1.70474809223843	2.47653840011748	1.79175946922805	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US014-8	BG001	10	D	control	4	nat	US014-8	6	4.8	1.1	13	black	1.56861591791385	0.0953101798043249	2.44948974278318	23.2	14	12.4	1.2	3.14415227867226	2.51769647261099	0.182321556793955	3.74165738677394	NA	117	No	NA	70	65	0.357345625	30	7	37.9	136	NA	4.24849524204936	4.17438726989564	-1.02905182829021	3.40119738166216	1.94591014905531	3.63495111208838	4.91265488573605	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US018-7	BG001	6	S	control	4	nat	US018-7	9	8.2	2.1	13	black	2.10413415427021	0.741937344729377	3	31.2	23	15.2	4.3	3.44041809481544	2.72129542785223	1.45861502269952	4.79583152331272	NA	117	No	NA	40	37	0.1162355	19	6	27.8	NA	NA	3.68887945411394	3.61091791264422	-2.15213697347705	2.94443897916644	1.79175946922805	3.32503602069659	NA	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
RO003-5	BG001	10	K	control	5	nat	RO003-5	9	7.5	1.2	13	black	2.01490302054226	0.182321556793955	3	32.2	16	16.8	3.6	3.47196645255036	2.82137888640921	1.28093384546206	4	NA	117	No	NA	59	54	0.250220475	28	4.5	14.5	40	NA	4.07753744390572	3.98898404656427	-1.38541284976521	3.3322045101752	1.50407739677627	2.67414864942653	3.68887945411394	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
RO003-1	BG001	14	G	control	5	nat	RO003-1	5	4.2	1.2	14	black	1.43508452528932	0.182321556793955	2.23606797749979	21.3	13	11.4	4.4	3.05870707271538	2.43361335540045	1.48160454092422	3.60555127546399	NA	117	No	NA	38	38	0.11340815	19	4	19.2	26	NA	3.63758615972639	3.63758615972639	-2.17676202078244	2.94443897916644	1.38629436111989	2.95491027903374	3.25809653802148	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-7	BG001	4	D	drought	4	nat	BG001-7	3	5.3	1.8	12	black	1.66770682055808	0.587786664902119	1.73205080756888	28.5	20	14.9	2.7	3.3499040872746	2.70136121295141	0.993251773010283	4.47213595499958	50	53	Yes	11	40.5	39.5	0.125640366	20.5	4.5	9.27	8	42	3.70130197411249	3.67630067190708	-2.07433169123093	3.02042488614436	1.50407739677627	2.22678337957776	2.07944154167984	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-6	BG001	4	M	control	2	nat	BG001-6	8	6.8	1.4	13	black	1.91692261218206	0.336472236621213	2.82842712474619	21.6	16	13.8	5.3	3.07269331469012	2.62466859216316	1.66770682055808	4	NA	117	No	NA	48	39	0.1470222	23.5	3	22.9	78	NA	3.87120101090789	3.66356164612965	-1.91717168319767	3.15700042115011	1.09861228866811	3.13113691056019	4.35670882668959	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US014-5	BG001	12	E	drought	4	nat	US014-5	7	7.8	1.6	12	black	2.05412373369555	0.470003629245736	2.64575131106459	31.2	16	15.7	3.7	3.44041809481544	2.75366071235426	1.30833281965018	4	42	42	Yes	6	33	32	0.0829356	16.5	3.5	7.73	6	22	3.49650756146648	3.46573590279973	-2.489690875969	2.80336038090653	1.25276296849537	2.04510886259933	1.79175946922805	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-8	BG001	4	L	control	2	nat	BG001-8	8	4.8	1	13	black	1.56861591791385	0	2.82842712474619	19.5	14	9.5	3.4	2.9704144655697	2.2512917986065	1.22377543162212	3.74165738677394	NA	117	No	NA	33	28	0.07256865	18.5	3	16.1	28	NA	3.49650756146648	3.3322045101752	-2.62322226859352	2.91777073208428	1.09861228866811	2.77881927199042	3.3322045101752	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US014-7	BG001	19	K	drought	4	nat	US014-7	7	5.2	1.2	12	black	1.64865862558738	0.182321556793955	2.64575131106459	28.9	18	14.3	3.3	3.36384159511839	2.66025953726586	1.19392246847243	4.24264068711928	NA	117	No	NA	48	31	0.1168638	23	4	18.4	20	NA	3.87120101090789	3.43398720448515	-2.14674612484217	3.13549421592915	1.38629436111989	2.91235066461494	2.99573227355399	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US018-4	BG001	15	H	drought	25	nat	US018-4	8	7.2	2.1	12	black	1.97408102602201	0.741937344729377	2.82842712474619	34.9	24	17.4	5.1	3.55248682920838	2.85647020622048	1.62924053973028	4.89897948556636	NA	117	No	NA	50	47	0.184563125	25	5	30.8	62	NA	3.91202300542815	3.85014760171006	-1.689763733097	3.2188758248682	1.6094379124341	3.42751468997953	4.12713438504509	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-2	BG001	15	N	drought	5	nat	BG001-2	8	5.4	1.5	12	black	1.68639895357023	0.405465108108164	2.82842712474619	21.3	38	10	3.4	3.05870707271538	2.30258509299405	1.22377543162212	6.16441400296898	NA	117	No	NA	51	48	0.1922598	27	4.5	24.4	40	NA	3.93182563272433	3.87120101090789	-1.64890769660299	3.29583686600433	1.50407739677627	3.19458313229916	3.68887945411394	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-5	BG001	3	U	control	4	nat	BG001-5	6	4.2	0.9	13	black	1.43508452528932	-0.105360515657826	2.44948974278318	19.2	31	10.1	2.2	2.95491027903374	2.31253542384721	0.78845736036427	5.56776436283002	46	46	Yes	22	36	36	0.1017846	17	4.5	12.82	8	85	3.58351893845611	3.58351893845611	-2.28489646332299	2.83321334405622	1.50407739677627	2.55100645149252	2.07944154167984	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
