Pop	tagged	Row	Column	Trt	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	m1.comments	Shoot.mass.gH	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	m2.comment	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	comments	bio19	bio4	bio7	Latitude	Longitude	PC1	PC2	PC3	PC4
1	SAND	RO003-8	16	E	drought	257	sk	4/15/2011		1 LF	4/30/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
2	SAND	SAND-1	14	N	control	256	sk	4/15/2011		1 LF	4/28/2011	22	7.5	2.9	14		222	37	41	17.9	6.9		NA	117	No	NA	NA	NA	NA	NA	89	71	0.496278463	NA	44	7	48.1		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
3	SAND	SAND-2	16	D	drought	256	sk	4/15/2011		1 LF	4/28/2011	13	5.9	1.6	12	EATEN	164	34.3	43	18.9	5.3		NA	117	No	NA	NA	NA	NA	NA	96	78	0.5880888	NA	43	8	58.7		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
4	SAND	SAND-3	14	T	control	272	sk	4/15/2011		2 LF	4/28/2011	14	6.6	1.8	14		165	28.1	41	15.5	6.5		NA	117	No	NA	NA	NA	NA	NA	73	64	0.3669272	NA	37	11.5	39.4		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
5	SAND	SAND-4	2	C	control	272	sk	4/15/2011			4/28/2011	8	6.4	1.8	13	EATEN	120	30	25	16.3	7.2		NA	117	No	NA	NA	NA	NA	NA	63	54	0.267184575	NA	37	7.5	27.8		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
6	SAND	SAND-5	19	F	drought	257	sk	4/15/2011		1 LF	4/28/2011	13	8.8	2.2	12		168	32.2	60	17.1	6.8		NA	117	No	NA	NA	NA	NA	NA	67	57	0.299934713	NA	34	9	38.9		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
7	SAND	SAND-6	10	U	control	286	sk	4/15/2011		1 LF	4/28/2011	8	9.9	1.9	13		40	36	29	22.6	8		53	53	Yes	14	NA	NA	NA	NA	57	53	0.237261788	88	29	6	17.22		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
8	SAND	SAND-7	18	K	control	258	sk	4/15/2011		1 LF	4/28/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
9	SAND	SAND-8	15	E	drought	258	sk	4/15/2011		2 LF	4/28/2011	8	7.2	2	12		110	33.6	34	18.1	5.8		NA	117	No	NA	NA	NA	NA	NA	75	71	0.418212188	NA	35	6.5	65.3		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
10	SAND	SAND-9	2	T	control	286	sk	4/15/2011			4/28/2011	8	8.4	1.2	13	EATEN	110	35.2	16	20.2	7.8		NA	117	No	NA	NA	NA	NA	NA	66	65	0.336925875	NA	33	7.5	29.2		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
11	SAND	US020-1	13	K	control	286	sk	4/15/2011			4/29/2011	7	5.9	1	14		58	25.6	14	15.9	3.5		NA	117	No	NA	NA	NA	NA	NA	53	46	0.191474425	NA	24	9	22.3		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
12	SAND	US020-3	4	K	control	286	sk	4/15/2011		2 LF	4/29/2011	6	8	1.1	13		56	40.2	9	20.8	7.8		NA	117	No	NA	NA	NA	NA	NA	54	46	0.19508715	NA	23	4.5	23.5		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
13	SAND	US020-6	19	J	drought	286	sk	4/15/2011		1 LF	4/29/2011	6	6.9	1.3	12		84	35.7	13	18.5	7.2		NA	117	No	NA	NA	NA	NA	NA	68	61	0.32577355	NA	36	7	31.3		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
14	SAND	US020-8	15	I	drought	272	sk	4/15/2011		1 LF	4/29/2011	8	4.1	1.5	12		44	28.1	24	15	6.9		NA	117	No	NA	NA	NA	NA	NA	58	52	0.2368691	NA	30	8	27.1		128	7155	341	48.20091667	16.97415	0.607148127039948	4.15461764285417	2.04745073900281	1.07202144094861
15	SERG	GR003-9	15	G	drought	24	sk	4/15/2011	NEW PLANT		5/3/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
16	SERG	SERG-3	16	B	drought	23	sk	4/15/2011		1 LF	4/27/2011	10	3.8	1.5	12		4	21.2	24	10.2	4.1		39	42	Yes	10	NA	NA	NA	NA	24	21	0.0395829	28	14.5	4	6.83		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
17	SERG	RO005-8	14	H	control	24	sk	4/15/2011	NEW PLANT		5/3/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
18	SERG	SERG-6	13	T	control	19	sk	4/15/2011		1 LF	4/27/2011	7	2.9	2.1	14	EATEN	78	20.5	14	11.6	4		NA	117	No	NA	NA	NA	NA	NA	60	50	0.2356125	NA	27	5.5	24.2		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
19	SERG	SERG-2	3	D	control	21	sk	4/15/2011		1 LF	4/27/2011	9	7.5	2.2	13		18	30.4	25	16	4.2		50	50	Yes	32	NA	NA	NA	NA	40	40	0.12566	88	21	4	20.51	bolt date missed	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
20	SERG	SERG-8	18	S	control	24	sk	4/15/2011			4/27/2011	8	6	2.1	14	EATEN	48	25.4	12	13.1	5.6		NA	117	No	NA	NA	NA	NA	NA	50	29	0.113879375	NA	24	7.5	28.1		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
21	SERG	SERG-4	17	M	control	21	sk	4/15/2011		1 LF	4/27/2011	11	6.6	2.5	14		6	28.5	56	13.2	7.4	BROKE LF	39	42	Yes	21	NA	NA	NA	NA	28	27	0.05937435	55	16	3	9.47		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
22	SERG	US013-9	17	Q	control	24	sk	4/15/2011		2 LF	4/29/2011	9	5	1.4	14		60	26	22	13.5	4.6		NA	117	No	NA	NA	NA	NA	NA	53	42	0.174824475	NA	23	7	22.5		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
23	SERG	SERG-7	12	U	drought	24	sk	4/15/2011		1 LF	4/27/2011	11	4.9	1.5	12		98	26.5	28	13.7	4.6		NA	117	No	NA	NA	NA	NA	NA	57	46	0.205925325	NA	31	6	30.8		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
