CrossID	Rack	Pos	Barcode	Origin	Exp	Trt	Pop	CrossNum	Indiv	LfCount1	LfLgth1	LfWdth1	LfCountH	LfLgthH	LfWdthH	BoltedatH	FlrHeadCount	CrownDiam.mm	ShootMass.g	LfCount2	LfLgth2	LfWdth2	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	DeathDay	WiltDay	TotWiltDay	m.date1	m.date2	m.dateH	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	sla	sla.log	Mass.log	Crown.log
1	BG001-1	19	45	BG001-1-1	nat	ass map	control	BG001	1	1	17	11.1	3.2	0	0	0	y	126	0.8	3.035	6	12	3.4	38	light purple	NA	NA	NA	86	13	NA	NA	NA	0	22	78	29M	29	M	25L	25	L	1	NA	NA	1.11021142451146	-0.22314355131421
2	BG001-10	14	47	BG001-10-1	nat	array	control	BG001	10	1	13	15.6	3.1	0	0	0	y	195	0.75	2.883	11	14.4	4	45	purple	NA	NA	NA	NA	NA	NA	NA	NA	0	22	78	25L	25	L	17O	17	O	1	NA	NA	1.05883141865627	-0.287682072451781
3	BG001-11	20	38	BG001-11-2	nat	ass map	control	BG001	11	2	13	10.5	3	0	0	0	y	134	0.8	5.231	19	18.4	3.9	NA		NA	NA	80	86	51	NA	NA	NA	0	22	78	25L	25	L	22O	22	O	1	NA	NA	1.65460246438847	-0.22314355131421
4	BG001-14	17	8	BG001-14-1	nat	ass map	control	BG001	14	1	16	12.9	3	0	0	0	y	90	0.6	2.436	9	12.7	3.4	65	light purple	NA	NA	NA	85	31	NA	NA	NA	0	22	78	25N	25	N	17O	17	O	1	NA	NA	0.890357349847651	-0.510825623765991
5	BG001-14	6	1	BG001-14-2	nat	mat fx	control	BG001	14	2	17	13.6	3.5	15	18.7	3.2	y	NA	1.2	4.193	19	13.7	3.8	NA		0.117	18.685	84	84	73	NA	NA	NA	0	22	78	25N	25	N	17O	17	O	1	159.700854700855	5.07330240712183	1.43341646818863	0.182321556793955
6	BG001-16	13	40	BG001-16-1	nat	ass map	control	BG001	16	1	17	11.6	2.7	14	22.3	2.8	y	NA	1	3.229	33	16.3	3	NA		0.127	24.108	80	86	73	NA	NA	NA	0	22	78	17K	17	K	25N	25	N	1	189.826771653543	5.24611192814434	1.17217249177614	0
7	BG001-17	6	5	BG001-17-9	nat	mat fx	control	BG001	17	9	26	7.4	2	39	20.1	4.8	n	NA	1.1	3.87	35	14.6	3.3	NA		0.064	11.473	84	84	NA	NA	NA	NA	0	22	78	17K	17	K	16N	16	N	0	179.265625	5.18886864443947	1.35325450704169	0.0953101798043249
8	BG001-17	16	36	BG001-17-6	nat	ass map	control	BG001	17	6	17	11.2	2.3	21	21.1	3.8	n	NA	0.95	3.2	25	21	4.2	NA		0.126	28.234	78	80	NA	NA	NA	NA	0	22	78	17K	17	K	16N	16	N	0	224.079365079365	5.41200029749267	1.16315080980568	-0.0512932943875506
9	BG001-17	18	29	BG001-17-10	nat	ass map	control	BG001	17	10	19	10.3	3.1	23	25	4.7	n	NA	1.1	3.394	27	21.2	5.4	NA		0.103	15.924	83	85	NA	NA	NA	NA	0	22	78	17K	17	K	16N	16	N	0	154.601941747573	5.04085369589057	1.22200916681203	0.0953101798043249
10	BG001-17	16	18	BG001-17-4	nat	ass map	control	BG001	17	4	18	10.6	2.5	30	24.9	6.1	n	0	1.2	4.047	20	19.3	3.6	NA		0.169	22.737	78	80	NA	NA	NA	NA	0	22	78	17K	17	K	16N	16	N	0	134.538461538462	4.90185011755707	1.39797586589373	0.182321556793955
