Origin	Pop	alt	Latitude	Longitude	PC1	CrossID	Rack	Pos	Barcode	Exp	Trt	CrossNum	Indiv	BoltedatH	ShootMass.g	HarvestDay	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	Mass.log	PC2	PC3	time	m.date	lfl	lfw	lfc
CA001-1-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-1	21	30	CA001-1-2	ass map	control	1	2	n	4.098	86	4L	4	L	3N	3	N	0	1.41049904981671	-5.95971149091243	1.21481333797062	1	0	18.5	5.2	13
CA001-1-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-1	23	14	CA001-1-3	ass map	control	1	3	n	4.77	85	4L	4	L	3N	3	N	0	1.56234630490025	-5.95971149091243	1.21481333797062	1	0	23	4.5	10
CA001-1-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-1	13	30	CA001-1-1	ass map	control	1	1	n	3.105	86	4L	4	L	3N	3	N	0	1.13301371538544	-5.95971149091243	1.21481333797062	1	0	19.6	3.6	13
CA001-10-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	14	15	CA001-10-2	ass map	control	10	2	y	3.968	84	3N	3	N	7L	7	L	1	1.37826218942263	-5.95971149091243	1.21481333797062	1	0	18.6	4.3	11
CA001-10-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	13	3	CA001-10-1	ass map	control	10	1	n	1.367	86	3N	3	N	7L	7	L	0	0.312618557741813	-5.95971149091243	1.21481333797062	1	0	17.7	2.9	6
CA001-10-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	23	40	CA001-10-3	ass map	control	10	3	n	2.677	85	3N	3	N	7L	7	L	0	0.984696764538215	-5.95971149091243	1.21481333797062	1	0	23.5	5.5	7
CA001-10-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	21	14	CA001-10-5	ass map	control	10	5	n	2.807	86	3N	3	N	7L	7	L	0	1.03211629737975	-5.95971149091243	1.21481333797062	1	0	20.2	3.9	8
CA001-10-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	16	21	CA001-10-7	ass map	control	10	7	n	3.408	80	3N	3	N	7L	7	L	0	1.22612560896707	-5.95971149091243	1.21481333797062	1	0	15.6	3	14
CA001-10-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	17	3	CA001-10-6	ass map	control	10	6	n	3.469	85	3N	3	N	7L	7	L	0	1.24386636798761	-5.95971149091243	1.21481333797062	1	0	161	4.2	9
CA001-10-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	13	48	CA001-10-4	array	control	10	4	n	4.472	NA	3N	3	N	7L	7	L	0	1.4978357358528	-5.95971149091243	1.21481333797062	1	0	15	3.6	9
CA001-11-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	15	45	CA001-11-6	ass map	control	11	6	n	2.668	86	3N	3	N	2M	2	M	0	0.981329128053377	-5.95971149091243	1.21481333797062	1	0	13.2	3.8	12
CA001-11-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	21	43	CA001-11-3	ass map	control	11	3	n	3.475	86	3N	3	N	2M	2	M	0	1.24559447901676	-5.95971149091243	1.21481333797062	1	0	15.1	3.6	11
CA001-11-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	20	14	CA001-11-7	ass map	control	11	7	n	4.537	86	3N	3	N	2M	2	M	0	1.51226600068183	-5.95971149091243	1.21481333797062	1	0	14.3	4.2	9
CA001-11-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	23	21	CA001-11-4	ass map	control	11	4	n	3.78	85	3N	3	N	2M	2	M	0	1.3297240096315	-5.95971149091243	1.21481333797062	1	0	15.2	4.7	13
CA001-11-11.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	15	43	CA001-11-11	ass map	control	11	11	n	3.811	86	3N	3	N	2M	2	M	0	1.33789162189172	-5.95971149091243	1.21481333797062	1	0	16.4	3.5	16
CA001-11-9.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	15	10	CA001-11-9	ass map	control	11	9	n	3.785	86	3N	3	N	2M	2	M	0	1.33104588688941	-5.95971149091243	1.21481333797062	1	0	16.5	3.6	12
CA001-11-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	19	14	CA001-11-2	ass map	control	11	2	n	3.957	86	3N	3	N	2M	2	M	0	1.37548616240329	-5.95971149091243	1.21481333797062	1	0	15	4	12
CA001-11-8.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	21	45	CA001-11-8	ass map	control	11	8	n	2.623	86	3N	3	N	2M	2	M	0	0.964318700884737	-5.95971149091243	1.21481333797062	1	0	14.1	4.5	10
CA001-11-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-11	17	32	CA001-11-5	ass map	control	11	5	n	4.092	85	3N	3	N	2M	2	M	0	1.40903384808938	-5.95971149091243	1.21481333797062	1	0	14.5	3.5	11
CA001-12-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	21	27	CA001-12-3	ass map	control	12	3	n	4.398	86	3N	3	N	4L	4	L	0	1.48114989213257	-5.95971149091243	1.21481333797062	1	0	15.6	3.9	11
CA001-12-8.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	12	30	CA001-12-8	ass map	control	12	8	n	3.68	84	3N	3	N	4L	4	L	0	1.30291275218084	-5.95971149091243	1.21481333797062	1	0	14.1	3.2	14
CA001-12-15.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	21	11	CA001-12-15	ass map	control	12	15	n	2.658	86	3N	3	N	4L	4	L	0	0.977573960291054	-5.95971149091243	1.21481333797062	1	0	17.9	4.1	9
CA001-12-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	18	14	CA001-12-5	ass map	control	12	5	n	4.165	85	3N	3	N	4L	4	L	0	1.42671627561881	-5.95971149091243	1.21481333797062	1	0	16	3.7	10
CA001-12-17.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	23	35	CA001-12-17	ass map	control	12	17	n	3.002	85	3N	3	N	4L	4	L	0	1.09927873321127	-5.95971149091243	1.21481333797062	1	0	17.4	3.9	12
CA001-12-11.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	22	31	CA001-12-11	ass map	control	12	11	n	4.233	86	3N	3	N	4L	4	L	0	1.44291096153879	-5.95971149091243	1.21481333797062	1	0	15.9	3.3	11
CA001-12-12.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	13	9	CA001-12-12	ass map	control	12	12	y	2.685	86	3N	3	N	4L	4	L	1	0.987680727960828	-5.95971149091243	1.21481333797062	1	0	19	3.2	12
CA001-12-16.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	19	49	CA001-12-16	ass map	control	12	16	n	3.181	86	3N	3	N	4L	4	L	0	1.15719561276701	-5.95971149091243	1.21481333797062	1	0	20.6	3.2	11
CA001-12-10.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	16	9	CA001-12-10	ass map	control	12	10	y	3.205	80	3N	3	N	4L	4	L	1	1.16471209037263	-5.95971149091243	1.21481333797062	1	0	17.8	4.3	11
CA001-12-13.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	20	47	CA001-12-13	ass map	control	12	13	n	3.357	86	3N	3	N	4L	4	L	0	1.2110477179979	-5.95971149091243	1.21481333797062	1	0	18.9	4.5	11
CA001-12-9.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	13	25	CA001-12-9	ass map	control	12	9	y	4.081	86	3N	3	N	4L	4	L	1	1.40634205642367	-5.95971149091243	1.21481333797062	1	0	16.7	2.9	12
