"Pop" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "Latitude" "Longitude" "Origin" "PC1" "PC2" "PC3"
"BG001" "BG001" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62 43.3819444444444 28.4575 "nat" -0.631001078891932 -1.63115058397275 -2.58930476165658
"CA001" "CA001" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161 49.0149388888889 -122.882097222222 "inv" -5.303394839265 -6.00112305768984 2.85078631394154
"CA008" "CA008" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6 49.0120833333333 -118.645711111111 "inv" 2.51643951161225 -1.17291659904918 2.8771563729721
"CA009" "CA009" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 49.2961027777778 -118.473830555556 "inv" 1.07394233354872 -0.47457802063257 1.45837533960762
"CA010" "CA010" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154 49.3201805555556 -118.370436111111 "inv" 1.24048990712399 -1.77315822289907 2.25539050638388
"GR001" "GR001" 1 159 255 65 445 54 17 29 153 67 69 128 112 34 7388 336 10 326 121 250 40.1566666666667 22.5480555555556 "nat" -2.97765652081293 2.99367426218119 -2.4193757554689
"GR002" "GR002" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220 40.6213888888889 23.0786111111111 "nat" -2.09707381354459 1.05354835393599 -1.34031027169725
"GR003" "GR003" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231 40.8508333333333 25.7930555555556 "nat" -3.98378490280575 0.953461541118413 -0.785672560504097
"HU001" "HU001" 176 106 200 3 573 69 33 23 182 107 178 121 91 29 7700 267 -40 307 185 20 47.6419444444444 18.7825 "nat" 0.674533789088005 -1.65204888131377 -1.2813881012916
"RO001" "RO001" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28 44.1102777777778 28.6369444444444 "nat" 0.151004698301595 -0.542533537943986 -2.89575598227918
"RO003" "RO003" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23 44.3896666666667 28.5266388888889 "nat" 0.599537792765864 -0.276775803020648 -2.9156364480671
"RO004" "RO004" 7 111 213 6 387 47 22 22 125 78 122 88 70 23 8129 263 -34 297 195 12 45.5761833333333 29.51805 "nat" 1.01892056225288 -0.036708910390315 -2.69885050195144
"RO005" "RO005" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6 45.4978611111111 27.9118055555556 "nat" 1.06021038678741 -0.180633955377578 -1.28681896427484
"RU001" "RU001" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117 51.38333333 56.8 "nat" 6.7042988330843 2.11848911566955 0.937971714940626
"RU008" "RU008" 525 88 200 -25 567 88 20 46 238 72 221 73 102 29 8829 269 -75 344 181 -17 44.05 43.06000278 "nat" 1.20804576678178 -0.165986209351563 0.684206710396286
"TR001" "TR001" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217 41.7511111111111 27.2477777777778 "nat" -2.76235803646397 0.197702130263603 -0.622946272811828
"TR004" "TR004" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187 38.3672222222222 42.7736111111111 "nat" -1.71043222229321 1.50058193101081 3.85547753723124
"UA003" "UA003" 96 81 193 -38 621 84 35 27 221 119 221 133 81 24 9054 251 -79 330 193 -28 50.48075 30.4863055555556 "nat" 2.41535992734241 -2.93707860329978 -0.487089496902636
"UA004" "UA004" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82 48.6460277777778 30.7750833333333 "nat" 1.99110196309115 -1.98682959135725 -0.531021508404452
"UA007" "UA007" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85 48.0922222222222 30.7497222222222 "nat" 1.99821237749099 -1.52290257718895 -0.788869436090806
"US001" "US001" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193 45.6152333333333 -120.787533333333 "inv" -1.77335016362254 3.69195447918512 1.48084495879066
"US002" "US002" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209 46.1822666666667 -118.82615 "inv" -1.24092563574133 4.05315001289485 -0.0156756427510285
"US003" "US003" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179 46.60415 -116.64175 "inv" -1.17299301227087 -0.139546320459528 1.92598234863148
"US014" "US014" 860 103 231 -22 507 88 11 65 254 33 220 33 163 36 9750 329 -112 441 204 -22 40.1222666666667 -101.280283333333 "inv" 1.00087237644078 3.93140904768725 2.33252390125632
