"Pop" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "Latitude" "Longitude" "Origin" "PC1" "PC2" "PC3" "PC4"
"BG001" "BG001" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62 43.3819444444444 28.4575 "nat" -0.675845653425689 -1.2765567172427 -2.67951864871712 0.807487657574495
"CA001" "CA001" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161 49.0149388888889 -122.882097222222 "inv" -5.1611874655194 -6.21016759664442 2.69712532551199 -1.30660624227148
"CA008" "CA008" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6 49.0120833333333 -118.645711111111 "inv" 2.62396160133386 -0.830248522639645 2.84509408096348 2.94889713202916
"CA009" "CA009" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130 49.2961027777778 -118.473830555556 "inv" 1.0662331251408 -0.105939071731398 1.50223848926721 1.98590941034718
"CA010" "CA010" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154 49.3201805555556 -118.370436111111 "inv" 1.32031653896237 -1.42012494916067 2.24939629405917 2.25432085541309
"GR001" "GR001" 1 159 255 65 445 54 17 29 153 67 69 128 112 34 7388 336 10 326 121 250 40.1566666666667 22.5480555555556 "nat" -3.29596838794165 3.11198709746429 -2.25655519178793 -0.226291238230866
"GR002" "GR002" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220 40.6213888888889 23.0786111111111 "nat" -2.27676780188475 1.20956587641519 -1.26365818144299 0.773569759867401
"GR003" "GR003" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231 40.8508333333333 25.7930555555556 "nat" -4.19005109234327 0.936708712981134 -0.722915160209975 -0.758213785225741
"HU001" "HU001" 176 106 200 3 573 69 33 23 182 107 178 121 91 29 7700 267 -40 307 185 20 47.6419444444444 18.7825 "nat" 0.662874005519585 -1.32239033113381 -1.36586250880447 -0.413109575675492
"RO001" "RO001" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28 44.1102777777778 28.6369444444444 "nat" 0.0741945645964069 -0.12980492904576 -2.99435489381198 1.24427783851568
"RO003" "RO003" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23 44.3896666666667 28.5266388888889 "nat" 0.522259293631426 0.117057866701441 -3.01066931627984 0.45282972490972
"RO004" "RO004" 7 111 213 6 387 47 22 22 125 78 122 88 70 23 8129 263 -34 297 195 12 45.5761833333333 29.51805 "nat" 0.942341491357502 0.38057276712683 -2.81303861410323 0.147339459710781
"RO005" "RO005" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6 45.4978611111111 27.9118055555556 "nat" 0.991832872052172 0.150329191252785 -1.31904160912292 -0.953376130976402
"RU001" "RU001" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117 51.38333333 56.8 "nat" 6.71725125004672 2.84680601925716 0.968632852765673 -0.445466642857944
"RU008" "RU008" 525 88 200 -25 567 88 20 46 238 72 221 73 102 29 8829 269 -75 344 181 -17 44.05 43.06000278 "nat" 1.1736938012135 -0.0111081907780604 0.660825968844653 -2.35001536811551
"SAND" "SAND" 151 98 191 0 651 82 36 29 238 112 238 119 96 31 7404 261 -43 304 191 13 48.2009166666667 16.97415 "sk" 0.62366974843475 -2.31492210361503 -0.629763299749726 -1.24785984496797
"SERG" "SERG" 997 73 158 -19 664 78 43 21 217 138 189 147 93 32 6907 225 -63 288 140 -6 43.1751666666667 22.6669333333333 "sk" 0.96901032135005 -3.53045674224918 0.545550826144209 0.450876854033639
"TR001" "TR001" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217 41.7511111111111 27.2477777777778 "nat" -2.91397229923898 0.286949412696787 -0.548433294824576 -0.0208789329517127
"TR004" "TR004" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187 38.3672222222222 42.7736111111111 "nat" -1.74303540499819 1.33467865324858 3.92879636771657 -0.315500736590994
"UA003" "UA003" 96 81 193 -38 621 84 35 27 221 119 221 133 81 24 9054 251 -79 330 193 -28 50.48075 30.4863055555556 "nat" 2.5098457624992 -2.47888957495957 -0.640775694502148 -1.26008715210878
"UA004" "UA004" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82 48.6460277777778 30.7750833333333 "nat" 2.04019444323354 -1.53377729706877 -0.64544022478196 -0.73162470922107
"UA007" "UA007" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85 48.0922222222222 30.7497222222222 "nat" 2.02921003199153 -1.06043910068298 -0.896880054168918 -0.54618672367264
"US001" "US001" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193 45.6152333333333 -120.787533333333 "inv" -2.03128941175332 3.75641910020086 1.65244794276873 1.09361550516725
"US002" "US002" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209 46.1822666666667 -118.82615 "inv" -1.52713166905865 4.24342919872914 0.147505703890396 1.57682755428488
"US003" "US003" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179 46.60415 -116.64175 "inv" -1.22807596807998 -0.0232046230915986 2.00387435297626 1.05315817252772
"US014" "US014" 860 103 231 -22 507 88 11 65 254 33 220 33 163 36 9750 329 -112 441 204 -22 40.1222666666667 -101.280283333333 "inv" 0.776436302880458 3.87352585396939 2.58541848739945 -4.21389284151438
