Row	Column	tagged	Trt	Wilt	TotWilt	Yellow	Ending	Death.date	BoltedatH	comments	Harvest.date	Bolt.date
1	1	A	GR003-4	edge	NA	NA	NA	H	NA	Yes		42	42
2	1	B	EDGE-45	edge	NA	NA	NA	H	NA	Yes		50	50
3	1	C	CORY1-2	edge	NA	NA	NA	DEAD	19			NA	NA
4	1	D	EDGE-47	edge	NA	NA	NA	DEAD	19			NA	NA
5	1	E	EDGE-48	edge	57	NA	71	edge	NA			NA	NA
6	1	F	EDGE-49	edge	71	NA	78	edge	NA			NA	NA
7	1	G	EDGE-50	edge	71	NA	74	edge	NA			NA	NA
8	1	H	EDGE-51	edge	57	NA	71	edge	NA			NA	NA
9	1	I	EDGE-52	edge	NA	NA	NA	H	NA	Yes		42	42
10	1	J	EDGE-53	edge	NA	NA	NA	H	NA	Yes		42	42
11	1	K	EDGE-54	edge	NA	NA	NA	H	NA	Yes		42	42
12	1	L	GR003-2	edge	NA	NA	NA	H	NA	Yes		42	42
13	1	M	EDGE-56	edge	NA	NA	NA	H	NA	Yes		46	46
14	1	N	EDGE-57	edge	57	74	71	edge	NA			NA	NA
15	1	O	EDGE-58	edge	57	78	64	edge	NA			NA	NA
16	1	P	UA004-3	edge	57	NA	74	H	NA	Yes		96	96
17	1	Q	EDGE-60	edge	NA	NA	NA	DEAD	19			NA	NA
18	1	R	EDGE-61	edge	57	NA	NA	H	NA	Yes		61	61
19	1	S	EDGE-62	edge	57	NA	57	edge	NA			NA	NA
20	1	T	EDGE-63	edge	57	NA	74	edge	NA			NA	NA
21	1	V	EDGE-24	edge	NA	NA	NA	H	NA	Yes		42	42
22	2	A	EDGE-4	edge	NA	NA	NA	H	NA	Yes		46	46
23	2	B	US019-7	control	35	NA	53	H	NA	no		117	NA
24	2	C	SAND-4	control	50	NA	64	H	NA	no		117	NA
25	2	D	HU001-5	control	57	NA	NA	H	NA	no		117	NA
26	2	E	RU001-5	control	57	NA	53	H	NA	Yes		57	57
27	2	F	US017-9	control	39	NA	39	H	NA	no		117	NA
28	2	G	TR001-8	control	39	NA	NA	H	NA	Yes		42	39
29	2	H	GR002-6	control	NA	NA	NA	DEAD	29			NA	NA
30	2	I	EDGE-1	control	39	74	42	H	NA	no		117	NA
31	2	J	RO001-9	control	39	NA	50	H	NA	no		117	NA
32	2	K	GR001-3	control	NA	NA	39	H	NA	Yes		42	35
33	2	L	UA008-8	control	NA	NA	NA	DEAD	29			NA	NA
34	2	M	TR003-7	control	35	NA	42	H	NA	Yes		50	50
35	2	N	US002-7	control	64	74	NA	H	NA	no		117	NA
36	2	O	RU008-4	control	50	NA	39	H	NA	no		117	NA
37	2	P	RO003-6	control	NA	NA	NA	H	NA	Yes		50	50
38	2	Q	TR004-1	control	NA	NA	NA	DEAD	29			NA	NA
39	2	R	US018-1	control	NA	NA	NA	DEAD	29			NA	NA
40	2	S	RU008-7	control	39	NA	35	DEAD	61			NA	NA
41	2	T	SAND-9	control	39	NA	78	H	NA	no		117	NA
42	2	V	EDGE-25	edge	57	NA	53	edge	NA			NA	NA
43	3	A	US026-5	edge	NA	NA	NA	H	NA	Yes		42	42
44	3	B	RO002-1	control	50	NA	50	H	NA	no		117	NA
45	3	C	HU001-4	control	50	74	53	H	NA	no		117	NA
46	3	D	SERG-2	control	50	NA	NA	H	NA	Yes		50	50
47	3	E	US018-6	control	NA	NA	NA	DEAD	29			NA	NA
48	3	F	CA001-6	control	NA	NA	NA	DEAD	29			NA	NA
49	3	G	US019-4	control	39	NA	50	H	NA	no		117	NA
50	3	H	RO002-8	control	42	NA	42	H	NA	no		117	NA
51	3	I	UA003-2	control	35	NA	35	H	NA	Yes		42	42
52	3	J	CA001-4	control	39	NA	57	H	NA	no		117	NA
53	3	K	RO003-9	control	50	74	71	H	NA	no		117	NA
54	3	L	US002-3	control	39	74	53	H	NA	no		117	NA
55	3	M	RU001-7	control	71	74	78	H	NA	no		117	NA
56	3	N	EDGE-83	control	50	NA	64	H	NA	no		117	NA
57	3	O	US002-8	control	39	NA	35	H	NA	no		117	NA
58	3	P	US018-2	control	39	NA	42	H	NA	Yes		64	64
59	3	Q	GR002-7	control	NA	NA	NA	H	NA	Yes		46	46
60	3	R	US023-3	control	39	78	50	H	NA	no		117	NA
61	3	S	RO001-5	control	39	NA	50	H	NA	no		117	NA
62	3	T	CORY2-8	control	50	NA	39	H	NA	Yes		50	50
63	3	U	BG001-5	control	NA	NA	NA	H	NA	Yes		46	46
64	3	V	EDGE-26	edge	57	71	78	edge	NA			NA	NA
65	4	A	CORY1-3	edge	57	NA	71	H	NA	Yes		92	92
66	4	B	US001-9	drought	50	NA	50	H	NA	no		117	NA
67	4	C	CA010-3	drought	35	71	39	H	NA	no		117	NA
68	4	D	BG001-7	drought	16	NA	50	H	NA	Yes		53	50
69	4	E	CA008-3	drought	35	71	50	H	NA	no		117	NA
