Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
CA001-2	8	C	control	CA001	1	inv	22	6.5	1.9	5/25/2011	red	1.87180217690159	0.641853886172395	4.69041575982343	-1.79201260527084
CA001-4	3	J	control	CA001	5	inv	3	7.5	1.6	5/25/2011	red	2.01490302054226	0.470003629245736	1.73205080756888	0.55718788593402
CA001-7	12	J	drought	CA001	3	inv	9	5.2	1.9	5/24/2011	red	1.64865862558738	0.641853886172395	3	-0.127969403098143
CA001-8	12	L	drought	CA001	4	inv	12	5.1	1.6	5/24/2011	red	1.62924053973028	0.470003629245736	3.46410161513775	-0.250646885888077
CA001-9	6	E	control	CA001	3	inv	25	10.4	3	5/30/2011	red	2.34180580614733	1.09861228866811	5	-3.29855095110523
CA008-3	4	E	drought	CA010	4	inv	9	7.6	2.6	5/24/2011	red	2.02814824729229	0.955511445027436	3	-1.07708953239629
CA008-4	5	R	drought	CA010	4	inv	10	7.3	1.9	5/24/2011	red	1.98787434815435	0.641853886172395	3.16227766016838	-0.751856790572539
CA008-7	8	Q	control	CA010	4	inv	16	10.3	3.1	5/25/2011	red	2.33214389523559	1.1314021114911	4	-2.53411558672328
CA008-8	14	D	control	CA010	4	inv	14	7.4	2.6	5/26/2011	red	2.00148000021012	0.955511445027436	3.74165738677394	-1.62523929804725
CA009-1	8	I	control	CA009	30	inv	7	4.6	1.3	5/25/2011	red	1.52605630349505	0.262364264467491	2.64575131106459	0.80926688463892
CA009-3	19	P	drought	CA009	70	inv	19	6.6	1.9	5/24/2011	red	1.88706964903238	0.641853886172395	4.35889894354067	-1.551880837204
CA009-4	9	I	control	CA009	70	inv	10	7.5	2.2	5/25/2011	red	2.01490302054226	0.78845736036427	3.16227766016838	-0.975895500025757
CA009-5	17	P	control	CA009	27	inv	10	9.1	2.3	5/26/2011	red	2.2082744135228	0.832909122935104	3.16227766016838	-1.31427775438504
CA009-6	6	K	control	CA009	27	inv	16	9.9	2.2	5/25/2011	red	2.29253475714054	0.78845736036427	4	-2.04452364301664
CA009-7	16	S	drought	CA009	72	inv	10	8.2	2.2	5/30/2011	red	2.10413415427021	0.78845736036427	3.16227766016838	-1.10621840521155
CA009-9	12	K	drought	CA009	10	inv	14	9.8	1.7	5/24/2011	red	2.28238238567653	0.53062825106217	3.74165738677394	-1.5006029086069
CA010-1	9	F	control	CA010	6	inv	12	7.2	1.5	5/25/2011	red	1.97408102602201	0.405465108108164	3.46410161513775	-0.673040349979781
CA010-2	10	G	control	CA010	1	inv	6	5.9	1.5	5/25/2011	red	1.77495235091167	0.405465108108164	2.44948974278318	0.420959807708527
CA010-3	4	C	drought	CA010	3	inv	8	6.8	2.3	5/24/2011	red	1.91692261218206	0.832909122935104	2.82842712474619	-0.62447828878079
CA010-4	6	T	control	CA010	6	inv	11	8.1	1.9	5/25/2011	red	2.09186406167839	0.641853886172395	3.3166247903554	-1.02591655266608
CA010-5	9	M	control	CA010	2	inv	11	4.2	1.3	5/25/2011	red	1.43508452528932	0.262364264467491	3.3166247903554	0.411065855202692
CA010-6	4	S	control	CA010	4	inv	10	7.8	2.5	5/25/2011	red	2.05412373369555	0.916290731874155	3.16227766016838	-1.19411060884325
CA010-7	12	O	drought	CA010	4	inv	15	7.9	1.7	5/24/2011	red	2.06686275947298	0.53062825106217	3.87298334620742	-1.2897926404161
CA010-8	6	B	control	CA010	2	inv	8	6.2	2	5/25/2011	red	1.82454929205105	0.693147180559945	2.82842712474619	-0.313616099811941
CA010-9	12	N	drought	CA010	3	inv	9	7.3	2.2	5/24/2011	red	1.98787434815435	0.78845736036427	3	-0.807960218514311
