Row	Column	Trt	Pop	Mom	Origin	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	PC1
BG001-1	13	U	control	BG001	2	nat	28.1	54	13.6	4.2	3.3357695763397	2.61006979274201	1.43508452528932	7.34846922834953	0.375442412598251
BG001-2	15	N	drought	BG001	5	nat	21.3	38	10	3.4	3.05870707271538	2.30258509299405	1.22377543162212	6.16441400296898	-1.08141255766066
BG001-3	4	Q	control	BG001	5	nat	18.6	18	10.2	1.9	2.92316158071916	2.32238772029023	0.641853886172395	4.24264068711928	-2.50840520444047
BG001-4	18	E	control	BG001	4	nat	35.1	48	19.1	5.8	3.55820113047182	2.94968833505258	1.75785791755237	6.92820323027551	1.555226842442
BG001-5	3	U	control	BG001	4	nat	19.2	31	10.1	2.2	2.95491027903374	2.31253542384721	0.78845736036427	5.56776436283002	-1.95096899823192
BG001-6	4	M	control	BG001	2	nat	21.6	16	13.8	5.3	3.07269331469012	2.62466859216316	1.66770682055808	4	-0.499362312011115
BG001-7	4	D	drought	BG001	4	nat	28.5	20	14.9	2.7	3.3499040872746	2.70136121295141	0.993251773010283	4.47213595499958	-0.772813006655701
BG001-8	4	L	control	BG001	2	nat	19.5	14	9.5	3.4	2.9704144655697	2.2512917986065	1.22377543162212	3.74165738677394	-1.89045836385285
CA001-2	8	C	control	CA001	1	inv	31.4	55	18.3	4.9	3.44680789291421	2.90690105984738	1.58923520511658	7.41619848709566	1.22191085851413
CA001-4	3	J	control	CA001	5	inv	23.6	23	13.6	3.9	3.16124671203156	2.61006979274201	1.3609765531356	4.79583152331272	-0.610369943221327
CA001-7	12	J	drought	CA001	3	inv	30.8	16	17.6	4.9	3.42751468997953	2.86789890204411	1.58923520511658	4	0.284613181957206
CA001-8	12	L	drought	CA001	4	inv	24.3	34	12.9	4.1	3.1904763503465	2.55722731136763	1.41098697371026	5.8309518948453	-0.325764668202134
CA001-9	6	E	control	CA001	3	inv	41.7	43	21.4	5.2	3.73050112880476	3.06339092202781	1.64865862558738	6.557438524302	1.74105214055086
CA008-3	4	E	drought	CA010	4	inv	38.6	19	19.2	7.9	3.65325227647079	2.95491027903374	2.06686275947298	4.35889894354067	1.47875787837181
CA008-4	5	R	drought	CA010	4	inv	35.5	19	18	5.6	3.56953269648137	2.89037175789616	1.7227665977411	4.35889894354067	0.793584017942211
CA008-7	8	Q	control	CA010	4	inv	43	41	21.7	6	3.76120011569356	3.07731226054641	1.79175946922805	6.40312423743285	1.96162774455116
