Row	Column	Trt	Pop	Mom	Origin	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	PC1
BG001-1	13	U	control	BG001	2	nat	Friday, August 12, 2011	Tuesday, August 16, 2011	Yes	23	58	44	0.2004277	29	6	41.3	74	515	4.06044301054642	3.78418963391826	-1.60730169577053	3.36729582998647	1.79175946922805	3.72086249996699	4.30406509320417	-0.758097093488316
BG001-2	15	N	drought	BG001	5	nat		Tuesday, September 06, 2011	No	NA	51	48	0.1922598	27	4.5	24.4	40	NA	3.93182563272433	3.87120101090789	-1.64890769660299	3.29583686600433	1.50407739677627	3.19458313229916	3.68887945411394	0.0340439083957228
BG001-3	4	Q	control	BG001	5	nat	Friday, July 08, 2011	Monday, July 11, 2011	Yes	3	37	29	0.084270738	17	4	12	18	146	3.61091791264422	3.36729582998647	-2.47372059167125	2.83321334405622	1.38629436111989	2.484906649788	2.89037175789616	3.00714712940179
BG001-4	18	E	control	BG001	4	nat		Tuesday, September 06, 2011	No	NA	50	48	0.18849	28	6	32.9	74	NA	3.91202300542815	3.87120101090789	-1.66871032389917	3.3322045101752	1.79175946922805	3.49347265777133	4.30406509320417	-0.416298814476775
BG001-5	3	U	control	BG001	4	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	22	36	36	0.1017846	17	4.5	12.82	8	85	3.58351893845611	3.58351893845611	-2.28489646332299	2.83321334405622	1.50407739677627	2.55100645149252	2.07944154167984	2.46612259392923
BG001-6	4	M	control	BG001	2	nat		Tuesday, September 06, 2011	No	NA	48	39	0.1470222	23.5	3	22.9	78	NA	3.87120101090789	3.66356164612965	-1.91717168319767	3.15700042115011	1.09861228866811	3.13113691056019	4.35670882668959	1.20909140476767
BG001-7	4	D	drought	BG001	4	nat	Friday, July 01, 2011	Monday, July 04, 2011	Yes	11	40.5	39.5	0.125640366	20.5	4.5	9.27	8	42	3.70130197411249	3.67630067190708	-2.07433169123093	3.02042488614436	1.50407739677627	2.22678337957776	2.07944154167984	1.94290814950705
BG001-8	4	L	control	BG001	2	nat		Tuesday, September 06, 2011	No	NA	33	28	0.07256865	18.5	3	16.1	28	NA	3.49650756146648	3.3322045101752	-2.62322226859352	2.91777073208428	1.09861228866811	2.77881927199042	3.3322045101752	3.30540681095257
CA001-4	3	J	control	CA001	5	inv		Tuesday, September 06, 2011	No	NA	57	48	0.2148786	28.5	4.5	24.7	48	NA	4.04305126783455	3.87120101090789	-1.53768206149277	3.3499040872746	1.50407739677627	3.20680324363393	3.87120101090789	-0.300897892455986
CA001-7	12	J	drought	CA001	3	inv	Monday, June 27, 2011	Monday, June 27, 2011	Yes	9	59	56	0.2594879	30	5	12.91	15	29	4.07753744390572	4.02535169073515	-1.34904520559434	3.40119738166216	1.6094379124341	2.55800220485855	2.70805020110221	-0.472939827979526
CA001-8	12	L	drought	CA001	4	inv		Tuesday, September 06, 2011	No	NA	52	50	0.2041975	29	6.5	29.1	80	NA	3.95124371858143	3.91202300542815	-1.58866761622564	3.36729582998647	1.87180217690159	3.37073817417745	4.38202663467388	-0.637492063710223
CA001-9	6	E	control	CA001	3	inv	Monday, July 04, 2011	Friday, July 08, 2011	Yes	16	71	62	0.345722075	35	7	19.6	56	117	4.26267987704132	4.12713438504509	-1.0621200781488	3.55534806148941	1.94591014905531	2.97552956623647	4.02535169073515	-1.88335896123697
CA008-3	4	E	drought	CA010	4	inv		Tuesday, September 06, 2011	No	NA	78	78	0.47782215	34	6	53.4	172	NA	4.35670882668959	4.35670882668959	-0.738516686856025	3.52636052461616	1.79175946922805	3.97781074596615	5.14749447681345	-3.01498550750757
CA008-4	5	R	drought	CA010	4	inv		Tuesday, September 06, 2011	No	NA	58	50	0.22775875	27	4	48.6	152	NA	4.06044301054642	3.91202300542815	-1.47946832426064	3.29583686600433	1.38629436111989	3.88362353090645	5.02388052084628	-0.659537978433661
CA008-7	8	Q	control	CA010	4	inv	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	10	62.5	56	0.27488125	29	8	13.39	20	45	4.13516655674236	4.02535169073515	-1.2914160927577	3.36729582998647	2.07944154167984	2.59450815970308	2.99573227355399	-1.00687384225703
CA008-8	14	D	control	CA010	4	inv		Tuesday, September 06, 2011	No	NA	68	66	0.3524763	32	5.5	55.5	100	NA	4.21950770517611	4.18965474202643	-1.04277189303268	3.46573590279973	1.70474809223843	4.01638302075239	4.60517018598809	-2.21198916375243
CA009-1	8	I	control	CA009	30	inv	Tuesday, July 12, 2011	Tuesday, July 12, 2011	Yes	11	44	39	0.13477035	22	6	11.6	26	77	3.78418963391826	3.66356164612965	-2.0041830601873	3.09104245335832	1.79175946922805	2.45100509811232	3.25809653802148	1.28455822941146
CA009-3	19	P	drought	CA009	70	inv	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	40	50	48	0.18849	25	5	16.1	40	7.7	3.91202300542815	3.87120101090789	-1.66871032389917	3.2188758248682	1.6094379124341	2.77881927199042	3.68887945411394	0.344645120631646
CA009-4	9	I	control	CA009	70	inv		Tuesday, September 06, 2011	No	NA	60	58	0.2733105	28	10.5	34.7	158	NA	4.0943445622221	4.06044301054642	-1.29714676746669	3.3322045101752	2.35137525716348	3.54673968695281	5.06259503302697	-1.77089186572303
CA009-5	17	P	control	CA009	27	inv	Monday, June 27, 2011	Monday, June 27, 2011	Yes	13	55	52	0.22461725	28	8	13.27	24	49	4.00733318523247	3.95124371858143	-1.49335743642131	3.3322045101752	2.07944154167984	2.58550584834412	3.17805383034795	-0.506295205137611
CA009-6	6	K	control	CA009	27	inv	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	9	57	54	0.241738425	30	5	10.91	22	78	4.04305126783455	3.98898404656427	-1.41989902583638	3.40119738166216	1.6094379124341	2.38967979984498	3.09104245335832	-0.214753577758772
CA009-7	16	S	drought	CA009	72	inv		Tuesday, September 06, 2011	No	NA	49	47	0.180871863	25	7	22	38	NA	3.89182029811063	3.85014760171006	-1.70996643765014	3.2188758248682	1.94591014905531	3.09104245335832	3.63758615972639	-0.0626710889256093
CA009-9	12	K	drought	CA009	10	inv		Tuesday, September 06, 2011	No	NA	48	42	0.1583316	25	4	43.6	80	NA	3.87120101090789	3.73766961828337	-1.84306371104395	3.2188758248682	1.38629436111989	3.77505715035499	4.38202663467388	0.310731591912924
CA010-1	9	F	control	CA010	6	inv		Tuesday, September 06, 2011	No	NA	69	69	0.373917038	31	6	37.3	6	NA	4.23410650459726	4.23410650459726	-0.983721329703495	3.43398720448515	1.79175946922805	3.61899332664977	1.79175946922805	-2.13032009791832
CA010-2	10	G	control	CA010	1	inv		Tuesday, September 06, 2011	No	NA	78	75	0.459444375	40	6	37	160	NA	4.35670882668959	4.31748811353631	-0.777737400009306	3.68887945411394	1.79175946922805	3.61091791264422	5.07517381523383	-2.93220820800163
CA010-3	4	C	drought	CA010	3	inv		Tuesday, September 06, 2011	No	NA	48	42	0.1583316	23	6	26.9	74	NA	3.87120101090789	3.73766961828337	-1.84306371104395	3.13549421592915	1.79175946922805	3.29212628660779	4.30406509320417	0.353428960270489
CA010-4	6	T	control	CA010	6	inv		Tuesday, September 06, 2011	No	NA	78	74	0.45331845	37	12	30.6	NA	NA	4.35670882668959	4.30406509320417	-0.791160420341447	3.61091791264422	2.484906649788	3.42100000895834	NA	-3.31012704232295
CA010-5	9	M	control	CA010	2	inv		Tuesday, September 06, 2011	No	NA	64	59	0.2965576	30.5	7.5	32	92	NA	4.15888308335967	4.07753744390572	-1.21551381296982	3.41772668361337	2.01490302054226	3.46573590279973	4.52178857704904	-1.71607281971396
CA010-6	4	S	control	CA010	4	inv		Tuesday, September 06, 2011	No	NA	55	53	0.228936813	23	6	30.7	106	NA	4.00733318523247	3.97029191355212	-1.47430923926661	3.13549421592915	1.79175946922805	3.42426265459315	4.66343909411207	-0.526946424505206
