Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
BG001-1	Friday, August 12, 2011	Tuesday, August 16, 2011	Yes	23	NA	NA	NA	NA	58	44	0.2004277	515	29	6	41.3		74
BG001-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	51	48	0.1922598	NA	27	4.5	24.4		40
BG001-3	Friday, July 08, 2011	Monday, July 11, 2011	Yes	3	NA	NA	NA	NA	37	29	0.084270738	146	17	4	12		18
BG001-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	50	48	0.18849	NA	28	6	32.9		74
BG001-5	Monday, June 27, 2011	Monday, June 27, 2011	Yes	22	NA	NA	NA	NA	36	36	0.1017846	85	17	4.5	12.82		8
BG001-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	48	39	0.1470222	NA	23.5	3	22.9		78
BG001-7	Friday, July 01, 2011	Monday, July 04, 2011	Yes	11	NA	NA	NA	NA	40.5	39.5	0.125640366	42	20.5	4.5	9.27		8
BG001-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	33	28	0.07256865	NA	18.5	3	16.1		28
CA001-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32
CA001-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	57	48	0.2148786	NA	28.5	4.5	24.7		48
CA001-7	Monday, June 27, 2011	Monday, June 27, 2011	Yes	9	NA	NA	NA	NA	59	56	0.2594879	29	30	5	12.91		15
CA001-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	52	50	0.2041975	NA	29	6.5	29.1		80
CA001-9	Monday, July 04, 2011	Friday, July 08, 2011	Yes	16	NA	NA	NA	NA	71	62	0.345722075	117	35	7	19.6		56
