Latitude	Longitude	Pop	Origin	year	countryCode
49.01794	-123.081848	CA001	inv	2008	CA
49.34998333	-119.9235083	CA002	inv	2008	CA
49.34998333	-119.9235083	CA003	inv	2006	CA
50.83333333	-120.6166667	CA004	inv	2008	CA
49.58164167	-118.4262778	CA005	inv	2008	CA
49.32018056	-118.3704361	CA006	inv	2008	CA
49.29610278	-118.4738306	CA007	inv	2008	CA
49.01208333	-118.6457111	CA008	inv	2008	CA
49.29610278	-118.4738306	CA009	inv	2010	CA
49.32018056	-118.3704361	CA010	inv	2010	CA
49.29610278	-118.4738306	CA011	inv	2009	CA
50.83333333	-120.6166667	CA012	inv	2009	CA
49.32018056	-118.3704361	CA013	inv	2009	CA
49.34998333	-119.9235083	CA014	inv	2009	CA
39.53039444	-118.1856111	US004	inv	2001	US
47.19493611	-119.0616389	US005	inv	2004	US
39.70283333	-105.3242222	US006	inv	2005	US
39.69666667	-104.8075833	US007	inv	2005	US
45.91633333	-118.4411667	US008	inv	2005	US
45.60475	-120.8160278	US009	inv	2005	US
43.83713889	-105.1253889	US010	inv	2005	US
43.38552778	-106.9373333	US011	inv	2005	US
40.52815278	-104.8487889	US012	inv	2001	US
40.56120278	-104.8654528	US013	inv	2002	US
40.12226667	-101.2802833	US014	inv	2002	US
42.72536111	-118.0010333	US015	inv	2002	US
46.86811667	-109.0664861	US016	inv	2002	US
40.42110556	-122.5550694	US017	inv	2002	US
43.54677222	-118.9139917	US018	inv	2002	US
40.80234167	-104.4099111	US019	inv	2002	US
46.98398889	-119.5801861	US020	inv	2002	US
46.617	-110.0921389	US021	inv	2002	US
45.74515	-119.7846833	US022	inv	2002	US
39.224275	-103.1222917	US023	inv	2002	US
34.8557	-110.2359833	US024	inv	2003	US
46.85305556	-115.59	US025	inv	2002	US
40.37190556	-104.4725611	US026	inv	2002	US
43.389431	28.457409	BG001	nat	2008	BG
40.15679	22.52602	GR001	nat	2008	GR
40.62138889	23.07861111	GR002	nat	2008	GR
40.87	25.79305556	GR003	nat	2008	GR
47.64194444	18.7825	HU001	nat	2008	HU
44.11027778	28.63694444	RO001	nat	2008	RO
43.90243333	28.57391667	RO002	nat	2005	RO
44.38966667	28.52663889	RO003	nat	2005	RO
45.49786111	27.91180556	RO005	nat	2005	RO
45.32583333	37.22361111	RU007	nat	2001	RU
41.75111111	27.24777778	TR001	nat	2008	TR
41.01237778	28.975925	TR002	nat	2006	TR
38.76722222	37.00388889	TR003	nat	2002	TR
38.36722222	42.77361111	TR004	nat	2002	TR
39.7825	41.07361111	TR005	nat	2002	TR
48.10066667	37.81611111	UA001	nat	2006	UA
48.15233333	37.84058333	UA002	nat	2006	UA
50.48075	30.48630556	UA003	nat	2006	UA
48.64602778	30.77508333	UA004	nat	2006	UA
47.862	38.46069444	UA005	nat	2006	UA
45.70833333	33.34972222	UA006	nat	2002	UA
48.09222222	30.74972222	UA007	nat	2001	UA
46.75722222	32.76611111	UA008	nat	2001	UA
45.61523333	-120.7875333	US001	inv	2008	US
46.18226667	-118.82615	US002	inv	2008	US
46.60415	-116.64175	US003	inv	2008	US
42.1153	23.3203	BG3	sk	2008	BG
45.57618333	29.51805	RO004	nat	2005	RO
48.20091667	16.97415	SAND	sk	2008	SK
43.17516667	22.66693333	SERG	sk	2008	RS
51.38333333	56.8	RU001	nat	2006	RU
49.1791667	53.2422611	RU002	nat	2006	RU
38.1625	54.8	RU003	nat	2006	RU
60.16666667	55.01666667	RU004	nat	2006	RU
49.1876667	53.2534694	RU005	nat	2006	RU
44.13999722	44.02	RU006	nat	2006	RU
44.05	43.06000278	RU008	nat	2006	RU
