"alt_06.tif" "alt_07.tif" "alt_11.tif" "alt_12.tif" "alt_13.tif" "alt_15.tif" "alt_16.tif" "alt_17.tif" "alt_18.tif" "bio1_06.tif" "bio1_07.tif" "bio1_11.tif" "bio1_12.tif" "bio1_13.tif" "bio1_15.tif" "bio1_16.tif" "bio1_17.tif" "bio1_18.tif" "bio10_06.tif" "bio10_07.tif" "bio10_11.tif" "bio10_12.tif" "bio10_13.tif" "bio10_15.tif" "bio10_16.tif" "bio10_17.tif" "bio10_18.tif" "bio11_06.tif" "bio11_07.tif" "bio11_11.tif" "bio11_12.tif" "bio11_13.tif" "bio11_15.tif" "bio11_16.tif" "bio11_17.tif" "bio11_18.tif" "bio12_06.tif" "bio12_07.tif" "bio12_11.tif" "bio12_12.tif" "bio12_13.tif" "bio12_15.tif" "bio12_16.tif" "bio12_17.tif" "bio12_18.tif" "bio13_06.tif" "bio13_07.tif" "bio13_11.tif" "bio13_12.tif" "bio13_13.tif" "bio13_15.tif" "bio13_16.tif" "bio13_17.tif" "bio13_18.tif" "bio14_06.tif" "bio14_07.tif" "bio14_11.tif" "bio14_12.tif" "bio14_13.tif" "bio14_15.tif" "bio14_16.tif" "bio14_17.tif" "bio14_18.tif" "bio15_06.tif" "bio15_07.tif" "bio15_11.tif" "bio15_12.tif" "bio15_13.tif" "bio15_15.tif" "bio15_16.tif" "bio15_17.tif" "bio15_18.tif" "bio16_06.tif" "bio16_07.tif" "bio16_11.tif" "bio16_12.tif" "bio16_13.tif" "bio16_15.tif" "bio16_16.tif" "bio16_17.tif" "bio16_18.tif" "bio17_06.tif" "bio17_07.tif" "bio17_11.tif" "bio17_12.tif" "bio17_13.tif" "bio17_15.tif" "bio17_16.tif" "bio17_17.tif" "bio17_18.tif" "bio18_06.tif" "bio18_07.tif" "bio18_11.tif" "bio18_12.tif" "bio18_13.tif" "bio18_15.tif" "bio18_16.tif" "bio18_17.tif" "bio18_18.tif" "bio19_06.tif" "bio19_07.tif" "bio19_11.tif" "bio19_12.tif" "bio19_13.tif" "bio19_15.tif" "bio19_16.tif" "bio19_17.tif" "bio19_18.tif" "bio2_06.tif" "bio2_07.tif" "bio2_11.tif" "bio2_12.tif" "bio2_13.tif" "bio2_15.tif" "bio2_16.tif" "bio2_17.tif" "bio2_18.tif" "bio3_06.tif" "bio3_07.tif" "bio3_11.tif" "bio3_12.tif" "bio3_13.tif" "bio3_15.tif" "bio3_16.tif" "bio3_17.tif" "bio3_18.tif" "bio4_06.tif" "bio4_07.tif" "bio4_11.tif" "bio4_12.tif" "bio4_13.tif" "bio4_15.tif" "bio4_16.tif" "bio4_17.tif" "bio4_18.tif" "bio5_06.tif" "bio5_07.tif" "bio5_11.tif" "bio5_12.tif" "bio5_13.tif" "bio5_15.tif" "bio5_16.tif" "bio5_17.tif" "bio5_18.tif" "bio6_06.tif" "bio6_07.tif" "bio6_11.tif" "bio6_12.tif" "bio6_13.tif" "bio6_15.tif" "bio6_16.tif" "bio6_17.tif" "bio6_18.tif" "bio7_06.tif" "bio7_07.tif" "bio7_11.tif" "bio7_12.tif" "bio7_13.tif" "bio7_15.tif" "bio7_16.tif" "bio7_17.tif" "bio7_18.tif" "bio8_06.tif" "bio8_07.tif" "bio8_11.tif" "bio8_12.tif" "bio8_13.tif" "bio8_15.tif" "bio8_16.tif" "bio8_17.tif" "bio8_18.tif" "bio9_06.tif" "bio9_07.tif" "bio9_11.tif" "bio9_12.tif" "bio9_13.tif" "bio9_15.tif" "bio9_16.tif" "bio9_17.tif" "bio9_18.tif"
"1020763351" NA NA NA NA NA NA 61 NA NA NA NA NA NA NA NA 121 NA NA NA NA NA NA NA NA 211 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 519 NA NA NA NA NA NA NA NA 60 NA NA NA NA NA NA NA NA 35 NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 120 NA NA NA NA NA NA NA NA 135 NA NA NA NA NA NA NA NA 72 NA NA NA NA NA NA NA NA 26 NA NA NA NA NA NA NA NA 7087 NA NA NA NA NA NA NA NA 260 NA NA NA NA NA NA NA NA -11 NA NA NA NA NA NA NA NA 271 NA NA NA NA NA NA NA NA 91 NA NA NA NA NA NA NA NA 62 NA NA
"1020816088" NA NA 24 NA NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 41 NA NA NA NA NA NA NA NA 1035 NA NA NA NA NA NA NA NA 153 NA NA NA NA NA NA NA NA 30 NA NA NA NA NA NA NA NA 51 NA NA NA NA NA NA NA NA 449 NA NA NA NA NA NA NA NA 110 NA NA NA NA NA NA NA NA 110 NA NA NA NA NA NA NA NA 406 NA NA NA NA NA NA NA NA 86 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 4700 NA NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA NA 7 NA NA NA NA NA NA NA NA 217 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA
"1020831584" NA NA NA 1918 NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA -90 NA NA NA NA NA NA NA NA 391 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 117 NA NA NA NA NA NA NA NA 77 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 32 NA NA NA NA NA NA NA NA 7466 NA NA NA NA NA NA NA NA 186 NA NA NA NA NA NA NA NA -140 NA NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA NA -83 NA NA NA NA NA NA NA NA -43 NA NA NA NA NA
"1020861541" NA NA NA 1918 NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA -90 NA NA NA NA NA NA NA NA 391 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 117 NA NA NA NA NA NA NA NA 77 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA NA 32 NA NA NA NA NA NA NA NA 7466 NA NA NA NA NA NA NA NA 186 NA NA NA NA NA NA NA NA -140 NA NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA NA -83 NA NA NA NA NA NA NA NA -43 NA NA NA NA NA
"1020861615" NA NA 995 NA NA NA NA NA NA NA NA 50 NA NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA NA -54 NA NA NA NA NA NA NA NA 358 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 7998 NA NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA NA -110 NA NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA
"1021134661" NA NA NA 1288 NA NA NA NA NA NA NA NA 37 NA NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA NA -60 NA NA NA NA NA NA NA NA 577 NA NA NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA 38 NA NA NA NA NA NA NA NA 19 NA NA NA NA NA NA NA NA 181 NA NA NA NA NA NA NA NA 117 NA NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 104 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 7760 NA NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA NA -106 NA NA NA NA NA NA NA NA 332 NA NA NA NA NA NA NA NA -53 NA NA NA NA NA NA NA NA -10 NA NA NA NA NA
"1021149568" NA NA NA 935 NA NA NA NA NA NA NA NA 57 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA -45 NA NA NA NA NA NA NA NA 561 NA NA NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 180 NA NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 115 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 8008 NA NA NA NA NA NA NA NA 255 NA NA NA NA NA NA NA NA -93 NA NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA NA -38 NA NA NA NA NA NA NA NA 154 NA NA NA NA NA
"1021160047" NA NA NA 599 NA NA NA NA NA NA NA NA 73 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA -33 NA NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA NA 59 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 158 NA NA NA NA NA NA NA NA 101 NA NA NA NA NA NA NA NA 123 NA NA NA NA NA NA NA NA 145 NA NA NA NA NA NA NA NA 124 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 8165 NA NA NA NA NA NA NA NA 277 NA NA NA NA NA NA NA NA -82 NA NA NA NA NA NA NA NA 359 NA NA NA NA NA NA NA NA -25 NA NA NA NA NA NA NA NA 130 NA NA NA NA NA
"1021364997" NA NA NA 1308 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA NA -61 NA NA NA NA NA NA NA NA 455 NA NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA NA 94 NA NA NA NA NA NA NA NA 118 NA NA NA NA NA NA NA NA 127 NA NA NA NA NA NA NA NA 116 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 7893 NA NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA NA -112 NA NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA NA -54 NA NA NA NA NA NA NA NA -6 NA NA NA NA NA
"1021517622" NA NA NA 599 NA NA NA NA NA NA NA NA 73 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA -33 NA NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA NA 59 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 158 NA NA NA NA NA NA NA NA 101 NA NA NA NA NA NA NA NA 123 NA NA NA NA NA NA NA NA 145 NA NA NA NA NA NA NA NA 124 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 8165 NA NA NA NA NA NA NA NA 277 NA NA NA NA NA NA NA NA -82 NA NA NA NA NA NA NA NA 359 NA NA NA NA NA NA NA NA -25 NA NA NA NA NA NA NA NA 130 NA NA NA NA NA
