Tagged	Row	Column	Trt	Pop	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date
BG001-1	13	U	control	BG001	2	nat	4/15/2011			4/27/2011
BG001-2	15	N	drought	BG001	5	nat	4/15/2011		1 LF	4/27/2011
BG001-3	4	Q	control	BG001	5	nat	4/15/2011			4/27/2011
BG001-4	18	E	control	BG001	4	nat	4/15/2011			4/27/2011
BG001-5	3	U	control	BG001	4	nat	4/15/2011			4/27/2011
BG001-6	4	M	control	BG001	2	nat	4/15/2011			4/27/2011
BG001-7	4	D	drought	BG001	4	nat	4/15/2011			4/27/2011
BG001-8	4	L	control	BG001	2	nat	4/15/2011			4/27/2011
BG001-9	NA	NA	NA	BG001	6	nat	4/15/2011			4/27/2011
CA001-1	5	T	drought	US001	14	inv	4/15/2011	NEW PLANT		5/3/2011
CA001-2	8	C	control	CA001	1	inv	4/15/2011		1 LF	4/27/2011
CA001-3	NA	NA	NA	CA001	3	inv	4/15/2011			4/27/2011
CA001-4	3	J	control	CA001	5	inv	4/15/2011		1 LF	4/27/2011
CA001-5	NA	NA	NA	CA001	6	inv	4/15/2011			4/27/2011
CA001-6	3	F	control	CA001	2	inv	4/15/2011		1 LF	4/27/2011
CA001-7	12	J	drought	CA001	3	inv	4/15/2011			4/27/2011
CA001-8	12	L	drought	CA001	4	inv	4/15/2011		1 LF	4/27/2011
CA001-9	6	E	control	CA001	3	inv	4/15/2011			4/27/2011
CA008-1	NA	NA	NA	RO005	20	nat	4/21/2011			4/29/2011
CA008-2	19	V	edge	RO004	9	nat	4/21/2011			4/29/2011
CA008-3	4	E	drought	CA010	4	inv	4/21/2011			4/29/2011
CA008-4	5	R	drought	CA010	4	inv	4/21/2011			4/29/2011
CA008-5	20	E	edge	RO004	9	nat	4/21/2011			4/29/2011
CA008-6	NA	NA	NA	RO004	9	nat	4/21/2011			4/29/2011
CA008-7	8	Q	control	CA010	4	inv	4/21/2011			4/29/2011
CA008-8	14	D	control	CA010	4	inv	4/21/2011			4/29/2011
CA008-9	NA	NA	NA	RO004	15	nat	4/15/2011		1 LF	4/29/2011
CA009-1	8	I	control	CA009	30	inv	4/15/2011		1 LF	4/27/2011
CA009-2	NA	NA	NA	CA009	28	inv	4/15/2011			4/27/2011
CA009-3	19	P	drought	CA009	70	inv	4/15/2011		1 LF	4/27/2011
CA009-4	9	I	control	CA009	70	inv	4/15/2011			4/27/2011
CA009-5	17	P	control	CA009	27	inv	4/15/2011		1 LF	4/27/2011
CA009-6	6	K	control	CA009	27	inv	4/15/2011		1 LF	4/27/2011
CA009-7	16	S	drought	CA009	72	inv	4/15/2011		1 LF	4/27/2011
CA009-8	NA	NA	NA	CA009	30	inv	4/15/2011		1 LF	4/27/2011
CA009-9	12	K	drought	CA009	10	inv	4/15/2011		1 LF	4/27/2011
CA010-1	9	F	control	CA010	6	inv	4/15/2011		1 LF	4/28/2011
CA010-2	10	G	control	CA010	1	inv	4/15/2011		1 LF	4/28/2011
CA010-3	4	C	drought	CA010	3	inv	4/15/2011			4/28/2011
CA010-4	6	T	control	CA010	6	inv	4/15/2011		1 LF	4/28/2011
CA010-5	9	M	control	CA010	2	inv	4/15/2011		1 LF	4/28/2011
CA010-6	4	S	control	CA010	4	inv	4/21/2011			4/28/2011
CA010-7	12	O	drought	CA010	4	inv	4/21/2011			4/28/2011
CA010-8	6	B	control	CA010	2	inv	4/15/2011		1 LF	4/28/2011
CA010-9	12	N	drought	CA010	3	inv	4/15/2011		1 LF	4/28/2011
CORY1-1	4	V	edge	UA004	11	nat	4/21/2011			4/29/2011
CORY1-2	1	C	edge	UA004	11	nat	4/15/2011		1 LF	4/29/2011
CORY1-3	4	A	edge	UA004	11	nat	4/21/2011			4/29/2011
CORY1-4	13	E	control	CA001	4	inv	4/15/2011		1 LF	4/29/2011
CORY1-5	NA	NA	NA	UA004	11	nat	4/15/2011		1 LF	4/29/2011
CORY1-6	5	F	drought	CA001	1	inv	4/15/2011			4/29/2011
CORY1-7	NA	NA	NA	CA001	3	inv	4/15/2011		1 LF	4/29/2011
CORY1-8	NA	NA	NA	CA001	4	inv	4/15/2011			4/29/2011
CORY1-9	NA	NA	NA	CA001	2	inv	4/15/2011			4/29/2011
CORY2-1	9	T	control	US003	7	inv	4/15/2011			4/29/2011
CORY2-2	NA	NA	NA	US003	20	inv	4/15/2011		1 LF	4/29/2011
CORY2-3	NA	NA	NA	CA001	6	inv	4/15/2011			4/29/2011
CORY2-4	NA	NA	NA	CA001	1	inv	4/15/2011			4/29/2011
CORY2-5	17	E	control	CA001	6	inv	4/15/2011			4/29/2011
CORY2-6	18	M	control	US003	20	inv	4/15/2011			4/29/2011
CORY2-7	NA	NA	NA	CA001	1	inv	4/15/2011			4/29/2011
CORY2-8	3	T	control	US003	25	inv	4/15/2011		1 LF	4/29/2011
CORY2-9	19	B	drought	US003	7	inv	4/15/2011		1 LF	4/29/2011
EDGE-1	2	I	control	CA009	72	inv	4/21/2011			4/30/2011
EDGE-10	NA	NA	NA	UA007	2	nat	4/15/2011			4/28/2011
EDGE-11	9	A	edge	CA008	5	inv	4/15/2011		2 LF	4/28/2011
EDGE-12	10	A	edge	RO001	27	nat	4/15/2011			4/30/2011
EDGE-13	NA	NA	NA	GR003	22	nat	4/15/2011			4/30/2011
EDGE-14	12	A	edge	GR002	21	nat	4/21/2011			4/30/2011
EDGE-15	NA	NA	NA	RU008	8	nat	4/15/2011		1 LF	4/30/2011
EDGE-16	6	L	control	GR003	30	nat	4/15/2011			4/30/2011
EDGE-17	13	V	edge	GR003	30	nat	4/15/2011			4/30/2011
EDGE-18	16	A	edge	GR001	2	nat	4/21/2011			4/30/2011
EDGE-19	17	A	edge	GR002	15	nat	4/21/2011			4/30/2011
EDGE-2	5	O	drought	BG001	5	nat	4/21/2011			4/30/2011
EDGE-20	18	A	edge	RO005	29	nat	4/21/2011			4/30/2011
EDGE-21	8	A	edge	TR001	18	nat	4/15/2011		1 LF	4/30/2011
EDGE-22	19	A	edge	GR001	2	nat	4/21/2011			4/30/2011
EDGE-23	NA	NA	NA	CA009	28	inv	4/15/2011			4/30/2011
EDGE-24	1	V	edge	GR001	2	nat	4/21/2011			4/30/2011
EDGE-25	2	V	edge	RO001	11	nat	4/21/2011			4/30/2011
EDGE-26	3	V	edge	RO003	1	nat	4/15/2011		2 LF	4/30/2011
EDGE-27	4	U	control	TR001	22	nat	4/15/2011			4/30/2011
EDGE-28	5	V	edge	TR001	18	nat	4/21/2011			4/30/2011
EDGE-29	6	V	edge	GR001	19	nat	4/21/2011			4/30/2011
