Tagged	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	m1.comments
US019-7	9	7.6	2.5	5/25/2011	EATEN
SAND-4	8	6.4	1.8	5/25/2011	EATEN
HU001-5	2	3.1	0.6	5/25/2011	
RU001-5	4	2.8	0.7	5/25/2011	
US017-9	9	6.8	1.7	5/25/2011	
TR001-8	5	4.5	1	5/25/2011	EATEN
EDGE-1	6	4.5	1.3	5/25/2011	
RO001-9	9	9	2.6	5/25/2011	
GR001-3	10	7.6	2.3	5/25/2011	
TR003-7	17	8.9	2.2	5/25/2011	
US002-7	2	1.2	0.2	5/25/2011	
RU008-4	14	9.1	2.2	5/25/2011	
RO003-6	8	3.9	1.2	5/25/2011	EATEN
RU008-7	14	6.8	1.9	5/25/2011	
SAND-9	8	8.4	1.2	5/25/2011	EATEN
RO002-1	6	4.8	1	5/25/2011	EATEN
HU001-4	7	6.9	1.8	5/25/2011	
SERG-2	9	7.5	2.2	5/25/2011	
US019-4	10	7.5	2	5/25/2011	
RO002-8	6	4.3	1.2	5/25/2011	
UA003-2	8	6.8	2.2	5/25/2011	
CA001-4	3	7.5	1.6	5/25/2011	
RO003-9	7	5.8	13	5/25/2011	
US002-3	5	5.5	1.5	5/25/2011	
RU001-7	3	3.6	0.5	5/25/2011	
EDGE-83	7	4.5	1.2	5/25/2011	
US002-8	7	8.1	1.6	5/25/2011	
US018-2	6	8.4	4.3	5/25/2011	
GR002-7	10	5.7	1	5/25/2011	EATEN
US023-3	8	8.9	1.8	5/25/2011	
RO001-5	10	9.1	2.2	5/25/2011	
CORY2-8	11	5.7	1.2	5/25/2011	
BG001-5	6	4.2	0.9	5/25/2011	
US001-9	1	6.9	1.5	5/24/2011	
CA010-3	8	6.8	2.3	5/24/2011	
BG001-7	3	5.3	1.8	5/24/2011	EATEN
CA008-3	9	7.6	2.6	5/24/2011	
US026-6	8	7.6	1.6	5/24/2011	EATEN
UA008-5	3	1	0.1	5/24/2011	VERY EATEN
UA004-2	11	6.8	1.6	5/24/2011	
GR003-1	5	2.6	1.8	5/24/2011	
US017-8	1	6.5	1.2	5/25/2011	EATEN
US020-3	6	8	1.1	5/25/2011	
BG001-8	8	4.8	1	5/25/2011	
BG001-6	8	6.8	1.4	5/25/2011	
RO005-7	9	6	1.6	5/25/2011	EATEN
RO002-3	6	5.8	1.1	5/25/2011	
US026-9	9	9.9	2.4	5/25/2011	
BG001-3	6	2.8	0.8	5/25/2011	
EDGE-46	4	5.3	0.9	5/25/2011	
CA010-6	10	7.8	2.5	5/25/2011	
US013-7	7	5.7	1.4	5/25/2011	
US012-5	6	6	1.5	5/24/2011	
EDGE-55	6	3.5	0.8	5/24/2011	
GR001-8	7	10.2	2.6	5/24/2011	EATEN
UA008-6	5	4.3	0.9	5/24/2011	
CORY1-6	17	8	1.9	5/24/2011	
