Tagged	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	m2.comment
BG001-1	28.1	54	13.6	4.2	
BG001-2	21.3	38	10	3.4	
BG001-3	18.6	18	10.2	1.9	
BG001-4	35.1	48	19.1	5.8	
BG001-5	19.2	31	10.1	2.2	
BG001-6	21.6	16	13.8	5.3	
BG001-7	28.5	20	14.9	2.7	
BG001-8	19.5	14	9.5	3.4	
CA001-2	31.4	55	18.3	4.9	
CA001-4	23.6	23	13.6	3.9	
CA001-7	30.8	16	17.6	4.9	
CA001-8	24.3	34	12.9	4.1	
CA001-9	41.7	43	21.4	5.2	
CA008-3	38.6	19	19.2	7.9	
CA008-4	35.5	19	18	5.6	
CA008-7	43	41	21.7	6	
CA008-8	37.3	26	19.2	6.6	
CA009-1	27	17	14.5	4.5	
CA009-3	35.8	43	19.4	4.2	
CA009-4	25.1	23	13.1	5.4	
CA009-5	41.1	26	22.8	5.3	
CA009-6	44.3	61	22.5	5.4	
CA009-7	36.5	17	18.5	3.8	
CA009-9	31.9	35	16.9	4.9	
CA010-1	29.6	26	16.3	5.2	
CA010-2	31.3	14	17.1	6	
CA010-3	35	13	18.5	5.6	
CA010-4	43.3	27	21.6	4.8	
CA010-5	24.2	23	11.9	4.5	
CA010-6	34.8	17	18	5.6	
CA010-7	33.2	33	17.5	5.2	
CA010-8	33.5	17	18.3	6.7	
CA010-9	28.8	16	16	4.9	
CORY1-6	39.2	48	19.6	6.5	
CORY2-6	19.6	27	29.2	2.4	
CORY2-8	31.2	49	16.9	4	
CORY2-9	33.7	86	17.4	4.1	
EDGE-1	27.6	13	14.2	5.6	
EDGE-2	24.5	25	13.6	3.2	
EDGE-34	34.1	17	19.5	5.4	
EDGE-46	26.8	12	15.2	3.2	
EDGE-55	17.1	19	9	3.4	
EDGE-6	32.4	18	17.1	5.7	
EDGE-70	26.1	13	13.9	4.3	
EDGE-83	17.4	13	10.2	3.3	
EDGE-9	25.9	14	13.2	4.4	
GR001-1	2.5	5	1.7	1.2	
GR001-2	25.6	14	16.8	6.5	
GR001-3	34.5	19	17.9	5	
GR001-4	39.7	18	20.4	5.6	
GR001-7	27.1	19	14.1	5.1	BOLT ONEPFIVE
GR001-8	24.2	13	16.6	6.4	
GR001-9	34	54	17.4	4.2	
GR002-2	6.8	7	3.7	1.7	
GR002-4	30.9	15	16.2	4.3	
GR002-7	28.6	27	15	4	
GR002-8	27.2	16	14.4	4.2	
GR002-9	28.7	21	14.6	4.6	
GR003-1	16.2	13	10.4	3.5	
GR003-5	47.2	18	22.7	3.9	
GR003-7	22.4	21	12.4	3.5	
HU001-1	19.2	11	11.5	3.2	
HU001-2	34.3	54	17.8	5.6	
HU001-3	28.6	12	16.7	4	
HU001-4	33	15	17.3	5.9	
HU001-5	12.5	6	12.5	1.6	
HU001-6	45.2	60	22.8	7.7	
HU001-7	34.3	15	18.3	5.3	
HU001-9	7.6	9	4.2	1.1	
RO001-1	35.2	21	19	4.6	
RO001-2	31.2	13	15.4	4.1	
RO001-3	31.4	56	16.2	4.8	
RO001-4	38.4	52	20.2	5.5	
RO001-5	39.1	21	20.7	6.3	
RO001-6	36.5	18	19.3	5.5	
RO001-7	45.4	56	23.5	4.2	
RO001-8	33.2	16	18.2	6.5	
RO001-9	45.5	21	23.5	5.5	
RO002-1	22.2	19	13.9	3.7	
RO002-3	19.2	12	12.2	4.2	
RO002-6	26.6	27	14.1	5.1	
RO002-7	14.7	9	8.2	2.8	
RO002-8	19.4	9	13.5	4.4	
RO003-1	21.3	13	11.4	4.4	
RO003-2	22.2	29	12.8	3.8	
RO003-5	32.2	16	16.8	3.6	
RO003-6	21.7	17	12.7	3.3	
RO003-9	14.2	29	8.7	2.5	
RO005-1	36.2	60	18.2	5.3	
RO005-2	37.6	15	19.2	5.1	
RO005-5	34.4	16	17.5	4.5	
RO005-7	26	15	13.8	4.7	
RU001-1	23.5	14	12.7	4.2	
RU001-2	21.2	12	11	3.2	
RU001-4	35.2	41	17.9	5.2	
RU001-5	15.5	11	9.4	2.7	
RU001-7	10.4	6	6.8	1.4	
RU001-9	13.1	9	8.3	2.6	
RU008-1	34.8	40	19	4.9	
RU008-2	39.4	24	20.1	4.5	
RU008-3	14.3	26	8.8	1.9	
RU008-4	35.7	62	24	5.2	
RU008-5	26.9	15	14.5	4.8	
RU008-6	43.2	31	22.8	5.8	
RU008-7	31.4	41	15.4	4.4	
RU008-8	41.2	29	20.2	5.6	
RU008-9	33.1	44	17.2	4.3	
SAND-1	37	41	17.9	6.9	
SAND-2	34.3	43	18.9	5.3	
SAND-3	28.1	41	15.5	6.5	
SAND-4	30	25	16.3	7.2	
SAND-5	32.2	60	17.1	6.8	
SAND-6	36	29	22.6	8	
SAND-8	33.6	34	18.1	5.8	
SAND-9	35.2	16	20.2	7.8	
SERG-2	30.4	25	16	4.2	
SERG-3	21.2	24	10.2	4.1	
SERG-4	28.5	56	13.2	7.4	BROKE LF
SERG-6	20.5	14	11.6	4	
SERG-7	26.5	28	13.7	4.6	
SERG-8	25.4	12	13.1	5.6	
SERG-9	23.7	21	12.4	4.8	
TR001-2	32.2	19	17.6	4.4	
TR001-3	42.6	23	22	4.2	
TR001-4	34.6	32	18.8	4.9	
TR001-5	29.5	15	15.6	4.9	
TR001-6	34.3	41	17.6	4.2	
TR001-7	27.2	14	14.2	3.6	
TR001-9	43.2	15	21.2	7.1	
TR003-2	12.9	10	7.5	2.4	
TR003-3	21.2	23	10.2	3.2	
TR003-5	37.2	32	19.2	4.2	
TR003-6	41.5	22	20	4.8	
TR003-7	30.4	44	16.2	5.9	
TR003-8	37.4	16	18.4	7.1	
TR004-2	18.3	11	11.4	4.6	
TR004-3	32.6	46	15.7	6.4	
TR004-4	20.5	12	12.5	4.7	
TR004-5	24.2	13	14.6	3.5	
TR004-7	39.8	35	21.7	7.7	
UA003-1	35.8	16	18.4	6.7	
UA003-2	33	23	17.4	6.3	
UA003-3	40.1	33	20.1	6.6	
UA003-4	15.7	12	8.7	3.2	
UA003-5	28.6	13	15.9	5.7	
UA003-6	31.9	24	16.8	5.1	
UA003-7	44.5	16	22	7.2	
UA003-9	30.6	20	17.8	6.2	
UA004-2	44	32	22.2	4.8	
UA006-3	34.5	45	18.2	4.1	
UA006-4	29.9	15	18.4	5.2	
UA006-6	30.2	15	17	4.2	
UA006-8	40.2	33	20.5	5.3	
UA006-9	36.9	18	18.3	5	
UA007-5	24.7	25	13	5.2	
UA007-6	36	28	18.2	4.9	
UA007-7	36.8	19	18.7	5.8	
UA007-9	26.4	12	14.9	3.1	
UA008-1	36	16	18.4	5.8	
UA008-3	30.4	14	17.2	4.6	
UA008-5	9.2	5	5.2	0.8	
UA008-6	26.2	12	14.2	3.8	
UA008-7	28.7	14	14.6	4.6	
US001-1	33.7	30	17.1	4.2	
US001-2	47.7	16	23.5	6.2	
US001-3	48.2	28	24.2	6.5	
US001-4	34.6	33	18.9	5.6	
US001-5	29.4	49	15.9	4.9	
US001-6	41.9	63	20	5.7	
US001-7	35.3	41	19.1	7.2	
US001-9	13.6	22	7.5	1.6	
US002-1	36.2	18	20.3	4.9	
US002-2	41	18	21.1	4.9	
US002-3	32.2	11	20.2	4.5	
US002-6	38.2	17	19.4	4.1	
US002-7	8.5	5	5.1	1.2	
US002-8	45.2	14	22.7	4.2	
US003-1	28.2	27	16	5.4	
US003-4	33.2	27	18	4.9	
US003-5	34.4	90	19.2	4.3	
US003-6	33.1	51	17.7	5.4	
US003-8	35.3	22	19.9	5.6	
US012-1	27.2	24	14.2	5.6	
US012-5	10.6	11	5.8	1.9	
US012-8	42.8	25	24.8	5.2	
US013-3	21.1	12	11.1	3.2	
US013-4	38.4	22	19.2	5.2	
US013-5	27.2	17	14.6	4.6	
US013-7	31.8	18	16.3	5.2	
US013-8	7.7	5	4.5	0.9	
US013-9	26	22	13.5	4.6	
US014-1	24.9	37	12.9	3.7	
US014-3	20.2	15	11.2	3.3	
US014-4	28.3	53	14.2	5.2	
US014-5	31.2	16	15.7	3.7	
US014-6	20.5	12	10.4	3.2	
US014-7	28.9	18	14.3	3.3	
US014-8	23.2	14	12.4	1.2	
US015-4	24.4	14	12.4	5.7	
US015-5	18.2	17	10.5	3.7	
US015-6	28.2	16	15.2	4.7	
US015-7	22.3	58	11.6	5.2	
US015-9	7.2	7	5	2.2	
US017-1	41.5	39	20.8	5.4	
US017-2	40.4	59	20.4	4.8	
US017-3	45.8	82	24.4	4.4	
US017-4	21.2	19	10.8	4.2	
US017-5	39.2	17	21.7	6.5	
US017-6	23.2	16	12.7	4	
US017-7	42	32	21.3	4.5	
US017-8	21.5	19	11.8	2.9	
US017-9	34.1	54	19.2	6.1	
US018-2	30.7	15	19.7	5.5	
US018-3	24.8	13	12.2	4.2	
US018-4	34.9	24	17.4	5.1	
US018-5	28.1	30	13.9	4.6	
US018-7	31.2	23	15.2	4.3	
US018-9	45	19	23.2	5.9	
US019-2	31.5	42	17.1	4.5	
US019-4	27.1	18	15.2	5.2	
US019-5	33.6	26	16.9	3.6	
US019-6	37.2	25	20.6	6.2	
US019-7	37.5	19	21.1	7.8	
US019-8	41.9	14	21.8	8.8	
US020-1	25.6	14	15.9	3.5	
US020-2	30.2	28	16.4	5.2	
US020-3	40.2	9	20.8	7.8	
US020-6	35.7	13	18.5	7.2	
US020-7	28.7	9	15.5	4	
US020-8	28.1	24	15	6.9	
US022-1	30.7	17	16.4	5.1	
US022-2	34.8	33	17.5	5.2	
US022-3	36.2	16	19	5.3	
US022-4	31	17	15.1	4.2	
US022-5	36.9	38	18	4.9	
US022-6	31.2	23	17.5	4.8	
US022-7	17.7	22	9	2.5	
US022-8	28.4	14	14.6	3.6	
US022-9	24.5	56	13.2	3.4	
US023-1	29.2	14	15.4	4.6	
US023-2	18.9	13	11.4	3.9	
US023-3	39.5	17	19	4.1	
US023-4	32.6	16	17.4	3.4	
US023-5	31.5	30	16.1	4.8	BOLT THREE
US023-7	38.7	12	20	4.5	
US023-8	33.1	23	17.1	6	
US023-9	30.3	15	14.9	4.1	
US026-2	33.2	14	17.3	4.2	
US026-3	33.8	14	22.1	5.2	
US026-6	35.5	18	18.5	6	
US026-8	40.2	17	20.1	6.5	BOLT TWO
US026-9	34.9	15	17.2	6.2	BOLT TWOPFVE
