Tagged	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	2ndBoltHtH	3rdBoltHtH	4thBoltHtH	5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	comments
US019-7		"Tuesday, September 06, 2011"	No						54	51	0.216292275		27	9	31.5	
SAND-4		"Tuesday, September 06, 2011"	No						63	54	0.267184575		37	7.5	27.8	
HU001-5		"Tuesday, September 06, 2011"	No						69	64	0.3468216		37.5	6.5	18.5	
RU001-5	"Friday, July 08, 2011"	"Friday, July 08, 2011"	Yes	5.5					47	45	0.166106813	37	24	7	9.5	
US017-9		"Tuesday, September 06, 2011"	No						66	65	0.336925875	33	5	6	26.1	
TR001-8	"Monday, June 20, 2011"	"Thursday, June 23, 2011"	Yes	10					37	32	0.0929884	10	20	5	7.7	
EDGE-1		"Tuesday, September 06, 2011"	No						67	65	0.342030813		28	5	31	
RO001-9		"Tuesday, September 06, 2011"	No						86	79	0.533583775		44.5	7	47.7	
GR001-3	"Thursday, June 16, 2011"	"Thursday, June 23, 2011"	Yes	33					42	35	0.115450125	18	23	6.5	10.6	
TR003-7	"Friday, July 01, 2011"	"Friday, July 01, 2011"	Yes	13.5					46	45	0.162572625	122	24.5	8	15.1	
US002-7		"Tuesday, September 06, 2011"	No						54	49	0.207810225		31	5	14.7	
RU008-4		"Tuesday, September 06, 2011"	No						90	84	0.5937435		43	7.7	46	
RO003-6	"Friday, July 01, 2011"	"Friday, July 01, 2011"	Yes	14					36	34.5	0.097543575	57	19	5.5	11.9	
SAND-9		"Tuesday, September 06, 2011"	No						66	65	0.336925875		33	7.5	29.2	
RO002-1		"Tuesday, September 06, 2011"	No						54	50	0.21205125		27	6	27.1	
HU001-4		"Tuesday, September 06, 2011"	No						67	58	0.305196725		36.5	7	27.9	
SERG-2	"Friday, July 01, 2011"	"Friday, July 01, 2011"	Yes	32					40	40	0.12566	88	21	4	20.51	bolt date missed
US019-4		"Tuesday, September 06, 2011"	No						29	29	0.066050038		16	4	17.3	
RO002-8		"Tuesday, September 06, 2011"	No						61	49	0.234748588		32	5	25.4	
UA003-2	"Thursday, June 23, 2011"	"Thursday, June 23, 2011"	Yes	7					52	47	0.19194565	27	27	7.5	11.02	
