tagged	pop	mom	Origin	germ start	retag/plant	comment	planting date
BG001-1	BG001	2	nat	4/15/2011			4/27/2011
BG001-2	BG001	5	nat	4/15/2011		1 LF	4/27/2011
BG001-3	BG001	5	nat	4/15/2011			4/27/2011
BG001-4	BG001	4	nat	4/15/2011			4/27/2011
BG001-5	BG001	4	nat	4/15/2011			4/27/2011
BG001-6	BG001	2	nat	4/15/2011			4/27/2011
BG001-7	BG001	4	nat	4/15/2011			4/27/2011
BG001-8	BG001	2	nat	4/15/2011			4/27/2011
BG001-9	BG001	6	nat	4/15/2011			4/27/2011
EDGE-2	BG001	5	nat	4/21/2011			4/30/2011
RO002-2	BG001	5	nat	4/21/2011			4/30/2011
RO002-3	BG001	5	nat	4/21/2011			4/30/2011
RO003-1	BG001	5	nat	4/21/2011			4/30/2011
RO003-2	BG001	5	nat	4/21/2011			4/30/2011
RO003-5	BG001	5	nat	4/21/2011			4/30/2011
RO003-6	BG001	5	nat	4/21/2011			4/30/2011
RO003-9	BG001	5	nat	4/21/2011			4/30/2011
RU001-1	BG001	2	nat	4/15/2011			4/30/2011
RU001-2	BG001	5	nat	4/15/2011			4/30/2011
RU001-3	BG001	5	nat	4/15/2011		1 LF	4/30/2011
RU001-6	BG001	2	nat	4/15/2011			4/30/2011
US014-1	BG001	4	nat	4/21/2011			4/30/2011
US014-4	BG001	4	nat	4/21/2011			4/30/2011
US014-5	BG001	4	nat	4/21/2011			4/30/2011
US014-7	BG001	4	nat	4/21/2011			4/30/2011
US014-8	BG001	4	nat	4/21/2011			4/30/2011
US018-2	BG001	4	nat	4/21/2011			4/29/2011
US018-3	BG001	5	nat	4/21/2011			4/29/2011
US018-4	BG001	25	nat	4/21/2011			4/29/2011
US018-5	BG001	5	nat	4/21/2011			4/29/2011
US018-6	BG001	5	nat	4/15/2011			4/29/2011
US018-7	BG001	4	nat	4/21/2011			4/29/2011
US018-8	BG001	2	nat	4/15/2011		1 LF	4/29/2011
US018-9	BG001	25	nat	4/21/2011			4/29/2011
CA001-2	CA001	1	inv	4/15/2011		1 LF	4/27/2011
CA001-3	CA001	3	inv	4/15/2011			4/27/2011
CA001-4	CA001	5	inv	4/15/2011		1 LF	4/27/2011
CA001-5	CA001	6	inv	4/15/2011			4/27/2011
CA001-6	CA001	2	inv	4/15/2011		1 LF	4/27/2011
CA001-7	CA001	3	inv	4/15/2011			4/27/2011
CA001-8	CA001	4	inv	4/15/2011		1 LF	4/27/2011
CA001-9	CA001	3	inv	4/15/2011			4/27/2011
CORY1-4	CA001	4	inv	4/15/2011		1 LF	4/29/2011
CORY1-6	CA001	1	inv	4/15/2011			4/29/2011
CORY1-7	CA001	3	inv	4/15/2011		1 LF	4/29/2011
CORY1-8	CA001	4	inv	4/15/2011			4/29/2011
CORY1-9	CA001	2	inv	4/15/2011			4/29/2011
CORY2-3	CA001	6	inv	4/15/2011			4/29/2011
CORY2-4	CA001	1	inv	4/15/2011			4/29/2011
CORY2-5	CA001	6	inv	4/15/2011			4/29/2011
CORY2-7	CA001	1	inv	4/15/2011			4/29/2011
EDGE-11	CA008	5	inv	4/15/2011		2 LF	4/28/2011
EDGE-3	CA008	7	inv	4/15/2011			4/28/2011
EDGE-5	CA008	5	inv	4/15/2011		1 LF	4/28/2011
EDGE-7	CA008	5	inv	4/15/2011		2 LF	4/28/2011
EDGE-8	CA008	7	inv	4/15/2011		1 LF	4/28/2011
EDGE-9	CA008	7	inv	4/15/2011		1 LF	4/28/2011
CA009-1	CA009	30	inv	4/15/2011		1 LF	4/27/2011
CA009-2	CA009	28	inv	4/15/2011			4/27/2011
CA009-3	CA009	70	inv	4/15/2011		1 LF	4/27/2011
CA009-4	CA009	70	inv	4/15/2011			4/27/2011
CA009-5	CA009	27	inv	4/15/2011		1 LF	4/27/2011
CA009-6	CA009	27	inv	4/15/2011		1 LF	4/27/2011
CA009-7	CA009	72	inv	4/15/2011		1 LF	4/27/2011
CA009-8	CA009	30	inv	4/15/2011		1 LF	4/27/2011
CA009-9	CA009	10	inv	4/15/2011		1 LF	4/27/2011
EDGE-1	CA009	72	inv	4/21/2011			4/30/2011
EDGE-23	CA009	28	inv	4/15/2011			4/30/2011
EDGE-30	CA009	28	inv	4/15/2011			4/30/2011
EDGE-38	CA009	70	inv	4/15/2011		1 LF	4/30/2011
EDGE-43	CA009	30	inv	4/15/2011			4/30/2011
EDGE-55	CA009	72	inv	4/21/2011			4/30/2011
EDGE-81	CA009	30	inv	4/15/2011		1 LF	4/30/2011
EDGE-83	CA009	72	inv	4/21/2011			4/30/2011
RO002-5	CA009	10	inv	4/15/2011			4/30/2011
RO002-6	CA009	72	inv	4/21/2011			4/30/2011
RO003-3	CA009	10	inv	4/15/2011			4/30/2011
RO003-7	CA009	27	inv	4/15/2011		1 LF	4/30/2011
TR003-1	CA009	27	inv	4/15/2011		1 LF	4/29/2011
TR003-2	CA009	30	inv	4/15/2011		1 LF	4/29/2011
TR003-3	CA009	30	inv	4/15/2011		1 LF	4/29/2011
TR003-4	CA009	10	inv	4/15/2011		1 LF	4/29/2011
TR003-5	CA009	72	inv	4/15/2011			4/29/2011
TR003-6	CA009	72	inv	4/15/2011			4/29/2011
TR003-7	CA009	72	inv	4/15/2011			4/29/2011
TR003-8	CA009	70	inv	4/15/2011		1 LF	4/29/2011
TR003-9	CA009	70	inv	4/15/2011			4/29/2011
US015-6	CA009	27	inv	4/15/2011		2 LF	4/29/2011
CA008-3	CA010	4	inv	4/21/2011			4/29/2011
CA008-4	CA010	4	inv	4/21/2011			4/29/2011
CA008-7	CA010	4	inv	4/21/2011			4/29/2011
CA008-8	CA010	4	inv	4/21/2011			4/29/2011
CA010-1	CA010	6	inv	4/15/2011		1 LF	4/28/2011
CA010-2	CA010	1	inv	4/15/2011		1 LF	4/28/2011
CA010-3	CA010	3	inv	4/15/2011			4/28/2011
CA010-4	CA010	6	inv	4/15/2011		1 LF	4/28/2011
CA010-5	CA010	2	inv	4/15/2011		1 LF	4/28/2011
CA010-6	CA010	4	inv	4/21/2011			4/28/2011
CA010-7	CA010	4	inv	4/21/2011			4/28/2011
CA010-8	CA010	2	inv	4/15/2011		1 LF	4/28/2011
CA010-9	CA010	3	inv	4/15/2011		1 LF	4/28/2011
RU001-5	CA010	1	inv	4/21/2011			4/30/2011
RU001-9	CA010	1	inv	4/21/2011			4/30/2011
UA003-1	CA010	1	inv	4/21/2011			4/30/2011
UA003-2	CA010	1	inv	4/21/2011			4/30/2011
UA003-3	CA010	4	inv	4/21/2011			4/29/2011
UA003-4	CA010	3	inv	4/15/2011			4/29/2011
UA003-5	CA010	1	inv	4/21/2011			4/30/2011
UA003-6	CA010	1	inv	4/21/2011			4/30/2011
UA003-7	CA010	4	inv	4/21/2011			4/29/2011
UA003-8	CA010	4	inv	4/15/2011		1 LF	4/30/2011
UA003-9	CA010	1	inv	4/21/2011			4/30/2011
