Tagged	Shoot.mass.gH
US019-7	98
SAND-4	120
HU001-5	52
RU001-5	10
US017-9	126
TR001-8	1.7
EDGE-1	112
RO001-9	170
GR001-3	8.7
US002-7	16
RU008-4	256
RO003-6	6
SAND-9	110
RO002-1	82
HU001-4	88
SERG-2	18
US019-4	16
RO002-8	62
UA003-2	8
CA001-4	48
RO003-9	16
US002-3	92
RU001-7	36
EDGE-83	42
US002-8	94
US018-2	19
GR002-7	8.5
US023-3	50
RO001-5	176
CORY2-8	24
BG001-5	8
US001-9	22
CA010-3	74
RO002-3	28
BG001-7	8
CA008-3	172
US026-6	6
UA008-5	10
UA004-2	242
GR003-1	3.4
US017-8	56
US020-3	56
BG001-8	28
BG001-6	78
RO005-7	86
US026-9	10
BG001-3	18
EDGE-46	8
CA010-6	106
US013-7	166
US012-5	34
EDGE-55	50
GR001-8	5.7
UA008-6	70
CORY1-6	30
UA003-1	8
UA003-5	54
US001-2	108
US023-9	22
TR001-7	46
UA003-7	138
EDGE-2	50
TR004-4	210
US023-7	4.2
CA008-4	152
US017-4	61
CA010-8	30
US001-4	170
CA001-9	56
UA007-7	16
RU008-8	146
US017-7	142
CA009-6	22
TR004-5	124
TR003-2	50
UA007-5	94
TR003-5	168
US001-5	14
CA001-2	32
US003-6	17
US-0236	14
US015-6	148
TR001-3	8
US001-3	218
CA009-1	26
US020-2	8
UA006-3	46
US002-2	32
US019-5	88
UA006-6	53
UA003-3	142
CA008-7	20
US003-8	96
US019-6	154
UA008-1	8
US023-2	34
TR001-1	142
CA010-1	6
US014-3	52
EDGE-6	22
CA009-4	158
UA003-9	12.8
US013-5	74
EDGE-70	4
CA010-5	92
US026-8	14
US001-1	166
RU008-5	20
GR001-1	4
HU001-6	264
UA007-9	126
RU001-1	168
US022-7	6.5
US022-4	6
US014-8	136
US022-8	3.9
US012-1	124
CA010-2	160
TR001-9	12
US017-6	166
RO003-5	40
US023-1	6.2
US002-6	14
TR003-3	120
HU001-1	64
TR003-6	204
SAND-6	40
RO003-2	56
US014-5	6
HU001-7	144
RU008-2	54
US017-1	198
CA001-7	15
CA009-9	80
CA001-8	80
GR002-2	4
CA010-9	142
CA010-7	76
UA008-3	94
HU001-3	116
US003-1	10.4
SERG-7	98
US019-2	180
US013-8	74
EDGE-85	40
US017-5	102
US020-1	58
RU008-6	24
TR001-4	44
US026-3	11
US022-1	7.2
RO005-2	74
EDGE-86	68
EDGE-91	7.8
SERG-6	78
BG001-1	74
RO001-8	6
US015-7	10
CA008-8	100
GR001-9	12
US014-4	12
RO003-1	26
US017-3	126
US001-6	74
EDGE-92	32
TR004-7	20
SAND-1	222
RU008-3	22
TR004-3	124
HU001-2	82
EDGE-89	74
SAND-3	165
US015-4	16
RU008-1	10.2
GR001-7	6
SAND-8	110
US001-7	10
US018-4	62
US020-8	44
US023-5	8
RO002-7	44
US013-4	27
SERG-9	12
BG001-2	40
US019-9	26
US022-5	8
TR003-8	76
US013-3	104
SERG-3	4
RO001-1	80
SAND-2	164
US022-6	38
US018-3	26
UA003-6	14
RU001-2	8
TR001-5	4.5
US020-7	4
UA006-4	132
RU008-9	14
US003-4	26
CA009-7	38
US015-5	32
GR001-4	5
US015-9	22
GR003-5	12
RO001-6	60
RO001-7	136
RO001-3	11.8
US018-9	104
US003-5	20
US014-6	64
SERG-4	6
EDGE-87	10
US022-2	14
CA009-5	24
US013-9	60
RO005-5	72
US019-8	92
GR002-8	10
UA006-9	84
EDGE-88	3.4
BG001-4	74
GR003-7	8
TR001-6	14
RO005-1	54
US023-4	28
RU001-9	22
CORY2-6	110
GR001-2	6
US022-3	7
US023-8	9
US012-8	124
EDGE-34	9
SERG-8	48
GR002-4	23
EDGE-9	56
CORY2-9	70
US014-1	5.5
US022-9	4
SAND-5	168
US017-2	100
RO002-6	76
TR001-2	8
US020-6	84
US014-7	20
TR004-2	132
US002-1	44
UA003-4	78
CA009-3	40
UA006-8	7.5
US026-2	6.7
RO001-2	142
UA007-6	11.6
TR003-7	32
