Pop	Row	Column	Trt	Mom	Origin	tagged	color	Bolt.date	BoltedatH	MaxBoltHtH	Min.Rose.diamH	Rose.AreaH.m2	CrownDiam.mm	Shoot.mass.gH	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4	time	m.date	lfl	lfw	lfc	rd	Harvest.date
1	BG001	10	D	control	4	nat	US014-8	black	NA	No	NA	65	0.357345625	37.9	136	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	12.4	1.2	14	23.2	117
2	BG001	10	D	control	4	nat	US014-8	black	NA	No	NA	65	0.357345625	37.9	136	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	4.8	1.1	6	NA	117
3	BG001	10	D	control	4	nat	US014-8	black	NA	No	NA	65	0.357345625	37.9	136	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	30	7	NA	70	117
4	BG001	10	K	control	5	nat	RO003-5	black	NA	No	NA	54	0.250220475	14.5	40	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	7.5	1.2	9	NA	117
5	BG001	10	K	control	5	nat	RO003-5	black	NA	No	NA	54	0.250220475	14.5	40	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	16.8	3.6	16	32.2	117
6	BG001	10	K	control	5	nat	RO003-5	black	NA	No	NA	54	0.250220475	14.5	40	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	28	4.5	NA	59	117
7	BG001	12	B	drought	5	nat	RO003-2	black	NA	No	NA	50	0.239539375	21.1	56	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	12.8	3.8	29	22.2	117
8	BG001	12	B	drought	5	nat	RO003-2	black	NA	No	NA	50	0.239539375	21.1	56	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	30	6	NA	61	117
9	BG001	12	B	drought	5	nat	RO003-2	black	NA	No	NA	50	0.239539375	21.1	56	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	4.4	0.5	9	NA	117
10	BG001	12	E	drought	4	nat	US014-5	black	42	Yes	6	32	0.0829356	7.73	6	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	7.8	1.6	7	NA	42
11	BG001	12	E	drought	4	nat	US014-5	black	42	Yes	6	32	0.0829356	7.73	6	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	15.7	3.7	16	31.2	42
12	BG001	12	E	drought	4	nat	US014-5	black	42	Yes	6	32	0.0829356	7.73	6	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	42	16.5	3.5	22	33	42
13	BG001	13	U	control	2	nat	BG001-1	black	92	Yes	23	44	0.2004277	41.3	74	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	13.6	4.2	54	28.1	96
14	BG001	13	U	control	2	nat	BG001-1	black	92	Yes	23	44	0.2004277	41.3	74	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	14	6.2	2	10	NA	96
