"","alt_07.tif","alt_11.tif","alt_12.tif","alt_15.tif","alt_16.tif","alt_17.tif","bio1_07.tif","bio1_11.tif","bio1_12.tif","bio1_15.tif","bio1_16.tif","bio1_17.tif","bio10_07.tif","bio10_11.tif","bio10_12.tif","bio10_15.tif","bio10_16.tif","bio10_17.tif","bio11_07.tif","bio11_11.tif","bio11_12.tif","bio11_15.tif","bio11_16.tif","bio11_17.tif","bio12_07.tif","bio12_11.tif","bio12_12.tif","bio12_15.tif","bio12_16.tif","bio12_17.tif","bio13_07.tif","bio13_11.tif","bio13_12.tif","bio13_15.tif","bio13_16.tif","bio13_17.tif","bio14_07.tif","bio14_11.tif","bio14_12.tif","bio14_15.tif","bio14_16.tif","bio14_17.tif","bio15_07.tif","bio15_11.tif","bio15_12.tif","bio15_15.tif","bio15_16.tif","bio15_17.tif","bio16_07.tif","bio16_11.tif","bio16_12.tif","bio16_15.tif","bio16_16.tif","bio16_17.tif","bio17_07.tif","bio17_11.tif","bio17_12.tif","bio17_15.tif","bio17_16.tif","bio17_17.tif","bio18_07.tif","bio18_11.tif","bio18_12.tif","bio18_15.tif","bio18_16.tif","bio18_17.tif","bio19_07.tif","bio19_11.tif","bio19_12.tif","bio19_15.tif","bio19_16.tif","bio19_17.tif","bio2_07.tif","bio2_11.tif","bio2_12.tif","bio2_15.tif","bio2_16.tif","bio2_17.tif","bio3_07.tif","bio3_11.tif","bio3_12.tif","bio3_15.tif","bio3_16.tif","bio3_17.tif","bio4_07.tif","bio4_11.tif","bio4_12.tif","bio4_15.tif","bio4_16.tif","bio4_17.tif","bio5_07.tif","bio5_11.tif","bio5_12.tif","bio5_15.tif","bio5_16.tif","bio5_17.tif","bio6_07.tif","bio6_11.tif","bio6_12.tif","bio6_15.tif","bio6_16.tif","bio6_17.tif","bio7_07.tif","bio7_11.tif","bio7_12.tif","bio7_15.tif","bio7_16.tif","bio7_17.tif","bio8_07.tif","bio8_11.tif","bio8_12.tif","bio8_15.tif","bio8_16.tif","bio8_17.tif","bio9_07.tif","bio9_11.tif","bio9_12.tif","bio9_15.tif","bio9_16.tif","bio9_17.tif"
"CA001",NA,NA,NA,NA,61,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,7087,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,-11,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,62,NA
"CA008",NA,24,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,1035,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,449,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,406,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,4700,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,161,NA,NA,NA,NA
"CA009",NA,NA,1308,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,-61,NA,NA,NA,NA,NA,455,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,7893,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,-112,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,-54,NA,NA,NA,NA,NA,-6,NA,NA,NA
"CA010",NA,NA,599,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,-33,NA,NA,NA,NA,NA,501,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,8165,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,-82,NA,NA,NA,NA,NA,359,NA,NA,NA,NA,NA,-25,NA,NA,NA,NA,NA,130,NA,NA,NA
"US014",NA,NA,935,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,-45,NA,NA,NA,NA,NA,561,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,8008,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,-93,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,-38,NA,NA,NA,NA,NA,154,NA,NA,NA
"BG001",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,445,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,7388,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,250,NA
"GR001",NA,NA,NA,NA,492,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,490,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,7227,NA,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,220,NA
"GR002",NA,NA,NA,NA,106,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,579,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,6800,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,231,NA
"GR003",NA,NA,NA,NA,176,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,573,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,7700,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,-40,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,20,NA
"HU001",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,7457,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,-20,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,28,NA
