"alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"BG001" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62
"CA001" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161
"CA008" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6
"CA009" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130
"CA010" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154
"GR001" 1 159 255 65 445 54 17 29 153 67 69 128 112 34 7388 336 10 326 121 250
"GR002" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220
"GR003" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231
"HU001" 176 106 200 3 573 69 33 23 182 107 178 121 91 29 7700 267 -40 307 185 20
"RO001" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28
"RO003" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23
"RO004" 7 111 213 6 387 47 22 22 125 78 122 88 70 23 8129 263 -34 297 195 12
"RO005" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6
"RU001" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117
"RU008" 525 88 200 -25 567 88 20 46 238 72 221 73 102 29 8829 269 -75 344 181 -17
"SAND" 151 98 191 0 651 82 36 29 238 112 238 119 96 31 7404 261 -43 304 191 13
"SERG" 997 73 158 -19 664 78 43 21 217 138 189 147 93 32 6907 225 -63 288 140 -6
"TR001" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217
"TR004" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187
"UA003" 96 81 193 -38 621 84 35 27 221 119 221 133 81 24 9054 251 -79 330 193 -28
"UA004" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82
"UA007" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85
"US001" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193
"US002" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209
"US003" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179
"US014" 860 103 231 -22 507 88 11 65 254 33 220 33 163 36 9750 329 -112 441 204 -22
