pop	KNnum	matmom	matindiv	patmom	patindiv	crossdate	seednum	totseedwt	avg seed wt
BG001	1	29	M	25	L	1/18/2010	2	0.0038	0.0019
BG001	2	29	M	25	N	1/14/2010	1	0.0014	0.0014
BG001	3	16	N	25	L	1/18/2010	2	0.0034	0.0017
BG001	4	22	N	25	N	1/21/2010	1	0.0018	0.0018
BG001	5	22	N	29	M	1/28/2010	6	0.0077	0.001283333
BG001	6	22	O	25	L	1/18/2010	6	0.0072	0.0012
BG001	7	22	O	17	O	1/25/2010	3	0.0041	0.001366667
BG001	8	25	L	16	N	1/21/2010	8	0.0082	0.001025
BG001	9	25	L	22	N	1/28/2010	12	0.0135	0.001125
BG001	10	25	L	17	O	1/14/2010	3	0.035	0.011666667
BG001	11	25	L	22	O	1/18/2010	3	0.0038	0.001266667
BG001	12	25	N	29	M	1/14/2010	4	0.0017	0.000425
BG001	13	25	N	16	M	1/14/2010	2	0.0025	0.00125
BG001	14	25	N	17	O	1/14/2010	3	0.0052	0.001733333
BG001	15	25	L	17	K	1/14/2010	2	0.0021	0.00105
BG001	16	17	K	25	N	1/28/2010	2	0.0029	0.00145
BG001	17	17	K	16	N	1/18/2010	10	0.0146	0.00146
BG001	18	16	N	25	N	1/17/2010	7	0.0109	0.001557143
CA001	1	4	L	3	N	1/27/2010	4	0.0075	0.001875
CA001	2	3	O	7	L	1/20/2010	7	0.0131	0.001871429
CA001	3	3	O	2	M	1/27/2010	17	0.0313	0.001841176
CA001	4	3	O	2	N	1/14/2010	13	0.0228	0.001753846
CA001	5	3	O	3	N	1/20/2010	24	0.0421	0.001754167
CA001	6	2	M	7	L	3/7/2010	2	0.0037	0.00185
CA001	7	2	M	3	N	1/20/2010	12	0.0198	0.00165
CA001	8	2	M	3	O	1/14/2010	24	0.045	0.001875
CA001	9	2	M	4	L	1/27/2010	33	0.0603	0.001827273
CA001	10	3	N	7	L	3/17/2010	7	0.0133	0.0019
CA001	11	3	N	2	M	1/20/2010	14	0.0237	0.001692857
CA001	12	3	N	4	L	1/20/2010	19	0.0339	0.001784211
CA001	13	3	N	3	O	1/20/2010	3	0.0051	0.0017
CA001	14	4	L	7	L	3/17/2010	1	0.0027	0.0027
CA001	15	4	L	3	O	1/12/2009	8	0.0154	0.001925
CA001	16	4	L	2	M	1/27/2010	10	0.0215	0.00215
CA001	17	7	L	3	N	3/7/2010	11	0.027	0.002454545
CA001	18	7	L	3	O	3/7/2010	2	0.004	0.002
CA001	19	7	L	2	M	3/7/2010	3	0.006	0.002
CA001	20	7	L	4	L	3/7/2010	22	0.025	0.001136364
CA001	21	2	M	?	?	?	4	0.0065	0.001625
CA001	22	3	O	?	?	?	2	0.0039	0.00195
GR002	1	25	L	17	M	3/17/2010	3	0.0061	0.002033333
GR002	2	25	L	25	K	1/21/2010	1	0.0001	0.0001
GR002	3	25	M	13	K	1/14/2010	3	0.0061	0.002033333
GR002	4	13	K	25	L	1/19/2010	1	0.0023	0.0023
GR002	5	13	K	25	M	1/19/2010	1	0.0021	0.0021
GR002	6	13	K	17	M	3/17/2010	2	0.0046	0.0023
GR002	7	25	K	2	K	1/27/2010	1	0.0017	0.0017
GR002	8	25	K	25	M	1/19/2010	2	0.0028	0.0014
GR002	9	25	K	13	K	1/19/2010	9	0.0132	0.001466667
GR002	10	23	N	20	L	3/17/2010	4	0.007	0.00175
RU008	1	17	K	21	N	1/27/2010	2	0.0039	0.00195
RU008	2	16	N	21	N	1/27/2010	2	0.0041	0.00205
RU008	3	17	K	21	M	2/26/2010	1	0.0021	0.0021
RU008	4	17	L	21	N	1/27/2010	1	0.0014	0.0014
RU008	5	21	N	17	K	1/27/2010	11	0.0197	0.001790909
RU008	6	21	N	16	N	1/27/2010	1	0.0019	0.0019
RU008	7	21	N	17	L	1/27/2010	1	0.0021	0.0021
RU008	8	21	M	17	K	2/26/2010	7	0.0124	0.001771429
RU008	9	21	M	16	N	1/20/2010	6	0.0111	0.00185
RU008	10	21	M	17	L	1/20/2010	1	0.0019	0.0019
RU008	11	12	M	16	N	2/26/2010	2	0.0037	0.00185
TR001	1	12	M	29	K	1/27/2010	2	0.0028	0.0014
TR001	2	12	M	1	K	2/26/2010	2	0.0037	0.00185
TR001	3	12	M	10	A	2/9/2010	3	0.0053	0.001766667
TR001	4	19	N	12	M	1/27/2010	3	0.002	0.000666667
TR001	5	10	A	12	M	1/16/2010	2	0.0039	0.00195
TR001	6	12	K	1	K	2/26/2010	8	0.0139	0.0017375
TR001	7	1	K	12	M	2/26/2010	1	0.002	0.002
TR001	8	1	K	12	K	2/26/2010	1	0.002	0.002
TR001	9	29	K	12	M	1/27/2010	35	0.029	0.000828571
TR001	10	29	K	1	K	2/26/2010	5	0.005	0.001
US001	1	22	N	23	D	1/25/2010	1	0.0019	0.0019
US001	2	22	N	23	N	1/25/2010	5	0.0095	0.0019
US001	3	22	M	22	N	1/28/2010	1	0.0017	0.0017
US001	4	22	M	23	N	1/27/2010	10	0.0163	0.00163
US001	5	22	M	20	M	1/21/2010	3	0.0051	0.0017
US001	6	23	N	22	N	1/25/2010	6	0.014	0.002333333
US001	7	23	N	23	D	3/1/2010	14	0.026	0.001857143
US001	8	23	N	20	M	1/25/2010	3	0.006	0.002
US001	9	23	N	20	L	3/1/2010	7	0.013	0.001857143
US001	10	20	L	5	L	3/17/2010	8	0.02	0.0025
US001	11	20	L	23	N	3/1/2010	1	0.003	0.003
US001	12	20	L	22	M	3/1/2010	3	0.008	0.002666667
