PopID	Latitude	Longitude	type										
CA001	 49:0:53.78	-123:7:4.45	dms							:			
CA002	49:20:59.94	-120:04:35.37	dms										
CA003	49:20:59.94	-120:04:35.37	dms										
CA004	50:50:00	-121:23:00	dms										
CA005	49:34:53.91	-119:34:25.40	dms										
CA006	49:19:12.65	-119:37:46.43	dms										
CA007	49:17:45.97	-119:31:34.21	dms										
CA008	49:00:43.50	-119:21:15.44	dms										
CA009	49:17:45.97	-119:31:34.21	dms										
CA010	49:19:12.65	-119:37:46.43	dms										
CA011	49:17:45.97	-119:31:34.21	dms										
CA012	50:50:00	-121:23:00	dms										
CA013	49:19:12.65	-119:37:46.43	dms										
CA014	49:20:59.94	-120:04:35.37	dms										
US001	45: 36.914	-121: 12.748	ddm										
US002	46: 10.936	-119: 10.431	ddm										
US003	46: 36.249	-?117: 21.495	ddm										
US004	39:31:49.42	-119:48:51.80	dms										
US005	47:11:41.77	-120:56:18.1	dms										
US006	39:42:10.2	-106:40:32.8	dms										
US007	39:41:48.	-105:11:32.7	dms										
US008	45:54:58.8	-119:33:31.8	dms										
US009	45:36:17.1	-121:11:2.3	dms										
US010	43:50:13.7	-106:52:28.6	dms										
US011	43:23:7.9	-107:03:45.6	dms										
US012	40:31:41.35	-105:9:4.36	dms										
US013	40:33:40.33	-105:8:4.37	dms										
US014	40:7:20.16	-102:43:10.98	dms										
US015	42:43:31.30	-119:59:56.28	dms										
US016	46:52:5.22	-110:56:0.65	dms										
US017	40:25:15.98	-123:26:41.75	dms										
US018	43:32:48.38	-119:05:09.63	dms										
US019	40:48:8.43	-105:35:24.32	dms										
US020	46:59:2.36	-120:25:11.33	dms										
US021	46:37:01.20	-111:54:28.3	dms										
US022	45:44:42.54	-120:12:55.14	dms										
US023	39:13:27.39	-104:52:39.75	dms										
US024	34:51:20.52	-111:45:50.46	dms										
US025	46:51:11	-116:24:36	dms										
US026	40:22:18.86	-105:31:38.78	dms										
BG001	43:22:55	28:27:27	dms										
BG3	42: 06.918	23: 19.218	ddm										
GR001	40:9:24	22:32:53	dms										
GR002	40:37:17	23:4:43	dms										
GR003	40:51:3	25:47:35	dms										
HU001	47: 38:31	18:46:57	dms										
RO001	44:6:37	28:38:13	dms										
RO002	43:54:8.76	28:34:26.1	dms										
RO003	44:23:22.8	28:31:35.9	dms										
RO004	44: 94.571	28: 91.083	ddm										
RO005	45:29:52.3	27:54:42.5	dms										
RU001	56.8	51.38333333	dec										
RU002	49.1791667	53.2422611	dec										
RU003	38.1625	54.8	dec										
RU004	60.16666667	55.01666667	dec										
RU005	49.1876667	53.2534694	dec										
RU006	44.02	44.13999722	dec										
RU007	 45:19:33	 37:13:25	dms										
RU008	43.06000278	44.05	dec										
SAND	48 12.055	16 58.449	dms										
SRG	43 10.510	22 40.016	dms										
TR001	41:45:4	27:14:52	dms										
TR002	41:00:44.56	28:58:33.33	dms										
TR003	38:45:62	36:59:74	dms										
TR004	38:22:02	42:45:85	dms										
TR005	39:46:57	41:04:25	dms										
UA001	48:06:02.4	37:48:58.0	dms										
UA002	48:09:8.4	37:50:26.1	dms										
UA003	50:28:50.7	30:29:10.7	dms										
UA004	48:38:45.7	30:46:30.3	dms										
UA005	47:51:43.2	38:27:38.5	dms										
UA006	45:42:30	33:20:59	dms										
UA007	 48:05:32	 30:44:59	dms										
UA008	 46:45:26	 32:45:58	dms										
